pattern,gene,rank,cogaps_weight,contrast_scope,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr,dominant_cell_type,working_label,interpretation_note,corr_with_stim,identity_log2fc_dominant_vs_other,stim_log2fc_stim_vs_ctrl,identity_direction,condition_direction
Pattern6,HSP90AB1,12,1.9837803840637207,global,0.3102168108343726,0.2584894844971375,8,8,0,0,1.0,0.0078125,up_in_stim,moderate,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,-1.0862722452318179,0.3101154897969598,higher in other PBMCs,higher in stimulation
Pattern6,HLA-DQA1,11,2.259584426879883,global,-0.784201227898105,-0.7706337990911329,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,2.869547887829731,-0.7835764497723718,higher in Dendritic cells,higher in control
Pattern6,HLA-DQB1,10,2.766254186630249,global,-0.8502776342276659,-0.8336193463100381,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,2.4468275157301598,-0.8497146720168838,higher in Dendritic cells,higher in control
Pattern6,PFN1,9,3.13634729385376,global,-1.1529439127604812,-1.1333902804768092,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,0.1960305148973774,-1.1528545802850396,higher in Dendritic cells,higher in control
Pattern6,FTH1,8,3.585453987121582,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,-0.5146531381308822,-1.0809217730503806,higher in other PBMCs,higher in control
Pattern6,ACTB,7,4.715860843658447,global,-1.191134450640187,-1.203250670285965,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,0.7094421826231455,-1.1910860532347023,higher in Dendritic cells,higher in control
Pattern6,FTL,6,5.578147411346436,global,-0.593321764978219,-0.5788279542516346,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,0.4784035369287835,-0.5933185726176635,higher in Dendritic cells,higher in control
Pattern6,HLA-DPB1,5,8.204859733581543,global,-0.2857987050288755,-0.3543033300800839,8,1,7,0,0.875,0.0234375,down_in_stim,moderate,0.0255681818181818,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,2.858159848487796,-0.2857487156791748,higher in Dendritic cells,higher in control
Pattern6,HLA-DPA1,4,8.471000671386719,global,-0.0545386391883861,-0.0040931828771251,8,4,4,0,0.5,0.640625,down_in_stim,weak_or_mixed,0.6514830508474576,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,2.786868352584275,-0.05453065042759386,higher in Dendritic cells,higher in control
Pattern6,HLA-DRB1,3,10.16970443725586,global,-0.2975816075682609,-0.3170030977552898,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,2.653579534532039,-0.2975482402401969,higher in Dendritic cells,higher in control
Pattern6,HLA-DRA,2,12.018577575683594,global,-0.5561788969326447,-0.554415985765484,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,2.802491107881343,-0.5561500531271696,higher in Dendritic cells,higher in control
Pattern6,CD74,1,13.793898582458496,global,-0.1506478645844757,-0.1809828157888411,8,1,7,0,0.875,0.0234375,down_in_stim,suggestive,0.0255681818181818,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0050028134208948,1.961543689149437,-0.1506391233021927,higher in Dendritic cells,higher in control
