pattern,gene,rank,cogaps_weight,contrast_scope,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern5,BST2,15,1.0784711837768557,global,2.028792202874449,2.159097727954868,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,PLSCR1,14,1.1741489171981812,global,2.6716363440440443,2.5790371068541944,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,OAS1,13,1.3517608642578125,global,3.962387931166637,4.1048805806151085,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,TNFSF10,12,1.3978185653686523,global,5.049335923250152,4.978036180206237,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,IRF7,11,1.5567588806152344,global,2.958522967791686,3.010825362676313,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,SAT1,10,1.5642191171646118,global,1.3698097478044962,1.3720088370730004,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,IFIT2,9,1.600779414176941,global,6.390504395918168,6.030985178542449,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,FTH1,8,2.999697685241699,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.0091911764705882
Pattern5,MX1,7,3.85671591758728,global,4.9379745848254455,5.017547696994877,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,IFIT1,6,4.010755062103272,global,7.416022595907107,7.327422098807611,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,LY6E,5,4.535023212432861,global,4.18328625296589,4.07367569844011,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,IFIT3,4,4.9311394691467285,global,6.394614357453015,5.990546314734326,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,IFI6,3,6.584771633148193,global,4.688121548864537,4.530177404792729,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,ISG20,2,8.381224632263184,global,3.668503901344236,3.574277346822541,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
Pattern5,ISG15,1,9.808597564697266,global,6.173215904309307,6.1679878237751184,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.0091911764705882
