gene,pattern,rank,cogaps_weight,contrast_scope,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr,dominant_cell_type,working_label,interpretation_note,corr_with_stim,identity_log2fc_dominant_vs_other,stim_log2fc_stim_vs_ctrl,identity_direction,condition_direction
HSP90AB1,Pattern3,12,1.99011337757111,global,0.310216810834373,0.258489484497137,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,moderate,0.0164371281560149,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,-1.0862722452318179,0.31011548979695946,higher in other PBMCs,higher in stimulation
HLA-DQA1,Pattern3,11,2.27387642860413,,,,,,,,,,,,,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,2.869547887829731,-0.7835764497723718,higher in Dendritic cells,higher in control
HLA-DQB1,Pattern3,10,2.78351044654846,,,,,,,,,,,,,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,2.4468275157301598,-0.8497146720168838,higher in Dendritic cells,higher in control
PFN1,Pattern3,9,3.1440258026123,global,-1.15294391276048,-1.13339028047681,8.0,0.0,8.0,0.0,1.0,0.0142661867014469,down_in_stim,strong,0.0164371281560149,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,0.19603051489737766,-1.1528545802850374,higher in Dendritic cells,higher in control
FTH1,Pattern3,8,3.59436368942261,global,-1.0809246736652,-1.05921027187755,8.0,0.0,8.0,0.0,1.0,0.0142661867014469,down_in_stim,strong,0.0164371281560149,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,-0.5146531381308833,-1.0809217730503822,higher in other PBMCs,higher in control
ACTB,Pattern3,7,4.71254062652588,global,-1.19113445064019,-1.20325067028597,8.0,0.0,8.0,0.0,1.0,0.0142661867014469,down_in_stim,strong,0.0164371281560149,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,0.7094421826231456,-1.191086053234702,higher in Dendritic cells,higher in control
FTL,Pattern3,6,5.60036754608154,global,-0.593321764978219,-0.578827954251635,8.0,0.0,8.0,0.0,1.0,0.0142661867014469,down_in_stim,strong,0.0164371281560149,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,0.4784035369287835,-0.5933185726176622,higher in Dendritic cells,higher in control
HLA-DPB1,Pattern3,5,8.20563220977783,,,,,,,,,,,,,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,2.858159848487796,-0.2857487156791748,higher in Dendritic cells,higher in control
HLA-DPA1,Pattern3,4,8.48537349700928,,,,,,,,,,,,,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,2.786868352584275,-0.054530650427593925,higher in Dendritic cells,higher in control
HLA-DRB1,Pattern3,3,10.1986074447632,,,,,,,,,,,,,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,2.653579534532039,-0.2975482402401968,higher in Dendritic cells,higher in control
HLA-DRA,Pattern3,2,12.0578451156616,,,,,,,,,,,,,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,2.8024911078813433,-0.5561500531271695,higher in Dendritic cells,higher in control
CD74,Pattern3,1,13.7050151824951,global,-0.150647864584476,-0.180982815788841,8.0,1.0,7.0,0.0,0.875,0.0299739735865559,down_in_stim,suggestive,0.0324208285732135,Dendritic cells,Dendritic / antigen-presentation-linked,High-weight HLA genes and dendritic-cell activity point to antigen-presentation structure.,0.0026489321651417,1.9615436891494376,-0.15063912330219315,higher in Dendritic cells,higher in control
