pattern,cell_type,ctrl,stim,stim_minus_ctrl
Pattern1,B cells,0.0012726932953376,0.0036557564576581,0.0023830631623205
Pattern1,CD14+ Monocytes,0.0503938647367863,0.0586885164997986,0.0082946517630123
Pattern1,CD4 T cells,0.0025733735257855,0.0032540575944175,0.0006806840686319998
Pattern1,CD8 T cells,0.0031226940757279,0.0039491369012536,0.0008264428255257
Pattern1,Dendritic cells,0.0278788876701692,0.0445059179514652,0.016627030281295998
Pattern1,FCGR3A+ Monocytes,0.468247550869217,0.560332293748227,0.09208474287901003
Pattern1,Megakaryocytes,0.0078907805875659,0.0023239109665695,-0.0055668696209964005
Pattern1,NK cells,0.0084482650042019,0.009212714248098,0.0007644492438961016
Pattern2,B cells,0.0033616745734378,0.0020123701228445,-0.0013493044505933
Pattern2,CD14+ Monocytes,0.494525572769141,0.150193470697163,-0.344332102071978
Pattern2,CD4 T cells,0.0058763637407773,0.0040606075660891,-0.0018157561746881996
Pattern2,CD8 T cells,0.0092997953493282,0.0078994549418346,-0.0014003404074935995
Pattern2,Dendritic cells,0.327406021699901,0.0842558924556107,-0.2431501292442903
Pattern2,FCGR3A+ Monocytes,0.243293296399112,0.025207583348155,-0.218085713050957
Pattern2,Megakaryocytes,0.0089047400676013,0.0007911236671508,-0.008113616400450501
Pattern2,NK cells,0.0132831311816816,0.0098435999839215,-0.003439531197760101
Pattern3,B cells,0.179594025608479,0.168954972119798,-0.010639053488680994
Pattern3,CD14+ Monocytes,0.0951775883221681,0.100274559597642,0.005096971275473899
Pattern3,CD4 T cells,0.0038158705618557,0.0043029940755754,0.00048712351371970036
Pattern3,CD8 T cells,0.0136086061474122,0.0130240028460765,-0.000584603301335699
Pattern3,Dendritic cells,0.488632409956104,0.522323965696391,0.03369155574028693
Pattern3,FCGR3A+ Monocytes,0.101406380103517,0.100207161004972,-0.0011992190985450069
Pattern3,Megakaryocytes,0.0068169366469293,0.0070254038231249,0.00020846717619560015
Pattern3,NK cells,0.0071568751968883,0.006745128881562,-0.00041174631532629995
Pattern4,B cells,0.0098935828641833,0.403777163892929,0.3938835810287457
Pattern4,CD14+ Monocytes,0.0126646009578298,0.173966430981206,0.16130183002337622
Pattern4,CD4 T cells,0.0076338555156901,0.30086381599426,0.29322996047856986
Pattern4,CD8 T cells,0.0095931747239969,0.319307995841325,0.3097148211173281
Pattern4,Dendritic cells,0.0164168030104023,0.391240594632149,0.37482379162174667
Pattern4,FCGR3A+ Monocytes,0.0404679268610731,0.406078388933826,0.3656104620727529
Pattern4,Megakaryocytes,0.0034899432616262,0.0502049699066315,0.0467150266450053
Pattern4,NK cells,0.0168696236838852,0.40181865050745,0.3849490268235648
Pattern5,B cells,9.75973164432368e-05,0.0057780895423881,0.005680492225944863
Pattern5,CD14+ Monocytes,0.0080808076706388,0.483206530390046,0.47512572271940723
Pattern5,CD4 T cells,0.0004076501840886,0.0044062083890478,0.0039985582049592
Pattern5,CD8 T cells,0.0004107886384829,0.0025368450805073,0.0021260564420244
Pattern5,Dendritic cells,0.0035899529156569,0.272460334423917,0.2688703815082601
Pattern5,FCGR3A+ Monocytes,0.0059832946956904,0.301973288276953,0.2959899935812626
Pattern5,Megakaryocytes,9.61113567875203e-05,0.0076210722970469,0.00752496094025938
Pattern5,NK cells,0.000608395666755,0.0059321514121838,0.0053237557454288
Pattern6,B cells,0.177007317592781,0.0931139498828432,-0.08389336770993779
Pattern6,CD14+ Monocytes,0.0708900232804554,0.0553036276314326,-0.015586395649022804
Pattern6,CD4 T cells,0.288326908193064,0.210455694752899,-0.07787121344016501
Pattern6,CD8 T cells,0.235941832674251,0.168402562420492,-0.067539270253759
Pattern6,Dendritic cells,0.160990567013355,0.113775443852086,-0.04721512316126901
Pattern6,FCGR3A+ Monocytes,0.106121662987601,0.0442480341345931,-0.06187362885300791
Pattern6,Megakaryocytes,0.0944512990559267,0.0862708239146741,-0.0081804751412526
Pattern6,NK cells,0.212765057214021,0.144310703932899,-0.06845435328112201
