gene,pattern,rank,cogaps_weight,contrast_scope,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
BST2,Pattern4,15,1.08426094055176,global,2.02879220287445,2.15909772795487,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
PLSCR1,Pattern4,14,1.17907178401947,global,2.67163634404404,2.57903710685419,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
OAS1,Pattern4,13,1.35603356361389,global,3.96238793116664,4.10488058061511,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
TNFSF10,Pattern4,12,1.40809190273285,global,5.04933592325015,4.97803618020624,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
IRF7,Pattern4,11,1.56163501739502,global,2.95852296779169,3.01082536267631,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
SAT1,Pattern4,10,1.56951463222504,global,1.3698097478045,1.372008837073,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
IFIT2,Pattern4,9,1.60991239547729,global,6.39050439591817,6.03098517854245,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
FTH1,Pattern4,8,2.98574447631836,global,-1.0809246736652,-1.05921027187755,8.0,0.0,8.0,0.0,1.0,0.0142661867014469,down_in_stim,strong,0.0164371281560149
MX1,Pattern4,7,3.85335969924927,global,4.93797458482545,5.01754769699488,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
IFIT1,Pattern4,6,4.01197099685669,global,7.41602259590711,7.32742209880761,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
LY6E,Pattern4,5,4.53398990631104,global,4.18328625296589,4.07367569844011,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
IFIT3,Pattern4,4,4.92728328704834,global,6.39461435745302,5.99054631473433,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
IFI6,Pattern4,3,6.575852394104,global,4.68812154886454,4.53017740479273,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
ISG20,Pattern4,2,8.38416481018066,global,3.66850390134424,3.57427734682254,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
ISG15,Pattern4,1,9.82040977478027,global,6.17321590430931,6.16798782377512,8.0,8.0,0.0,0.0,1.0,0.0142661867014469,up_in_stim,strong,0.0164371281560149
