pattern,cell_type,condition,mean_activity,median_activity,n_cells
Pattern1,CD4 T cells,ctrl,0.005272363734158848,0.00012002928269794211,5560
Pattern1,CD4 T cells,stim,0.0037480692799235515,6.067042704671621e-05,5678
Pattern1,CD14+ Monocytes,ctrl,0.49415665526085345,0.5135136246681213,2932
Pattern1,CD14+ Monocytes,stim,0.15063933890276207,0.1390928030014038,2765
Pattern1,B cells,ctrl,0.003212355660443839,2.2417870241042692e-05,1316
Pattern1,B cells,stim,0.0019106589416452552,7.777605787850916e-06,1335
Pattern1,NK cells,ctrl,0.012493306949700802,0.002711735898628831,855
Pattern1,NK cells,stim,0.00922225242120823,0.0012674718163907528,861
Pattern1,CD8 T cells,ctrl,0.008304841960038013,0.0013207000447437167,811
Pattern1,CD8 T cells,stim,0.007400602980552959,0.0005617559945676476,810
Pattern1,FCGR3A+ Monocytes,ctrl,0.24211741705239548,0.2218552976846695,520
Pattern1,FCGR3A+ Monocytes,stim,0.024499902696931305,3.087840013904497e-05,569
Pattern1,Dendritic cells,ctrl,0.32730380960035904,0.33587609231472015,258
Pattern1,Dendritic cells,stim,0.08414272809662388,0.06035192310810089,271
Pattern1,Megakaryocytes,ctrl,0.008288757494035905,7.486288086511195e-05,63
Pattern1,Megakaryocytes,stim,0.0005560652149353595,4.947581692249514e-05,69
Pattern2,CD4 T cells,ctrl,0.2888333132744808,0.2706908583641052,5560
Pattern2,CD4 T cells,stim,0.2102666369896413,0.18734686821699142,5678
Pattern2,CD14+ Monocytes,ctrl,0.0708449199731247,0.030051708221435547,2932
Pattern2,CD14+ Monocytes,stim,0.055234712719263446,0.0048822215758264065,2765
Pattern2,B cells,ctrl,0.17710795274919525,0.16794826835393906,1316
Pattern2,B cells,stim,0.09302103627762541,0.08050093054771423,1335
Pattern2,NK cells,ctrl,0.21379435041857908,0.19452500343322754,855
Pattern2,NK cells,stim,0.14473395294267222,0.1231013685464859,861
Pattern2,CD8 T cells,ctrl,0.237148063956285,0.22334793210029602,811
Pattern2,CD8 T cells,stim,0.16862898164834644,0.14946923404932022,810
Pattern2,FCGR3A+ Monocytes,ctrl,0.10606469197144629,0.08210176229476929,520
Pattern2,FCGR3A+ Monocytes,stim,0.043490684997597354,0.0008334541926160455,569
Pattern2,Dendritic cells,ctrl,0.162147109308078,0.1283344253897667,258
Pattern2,Dendritic cells,stim,0.11481649021888414,0.09254350513219833,271
Pattern2,Megakaryocytes,ctrl,0.09530983390961034,0.06813739985227585,63
Pattern2,Megakaryocytes,stim,0.08576099424301545,0.06522638350725174,69
Pattern3,CD4 T cells,ctrl,0.001035879204445417,0.0001391984333167784,5560
Pattern3,CD4 T cells,stim,0.005378383397621236,0.00022250805341172963,5678
Pattern3,CD14+ Monocytes,ctrl,0.00874199319012424,7.140568777685985e-05,2932
Pattern3,CD14+ Monocytes,stim,0.48365191028370885,0.4959522783756256,2765
Pattern3,B cells,ctrl,0.00020272303165787592,1.0510304036870366e-05,1316
Pattern3,B cells,stim,0.00662198861177498,0.00011400167568353936,1335
Pattern3,NK cells,ctrl,0.0015578750724618887,0.000320350838592276,855
Pattern3,NK cells,stim,0.007286533208550465,0.00047964733676053584,861
Pattern3,CD8 T cells,ctrl,0.0012359242908711596,0.0002377129130763933,811
Pattern3,CD8 T cells,stim,0.0034264309085911436,9.650362335378304e-05,810
Pattern3,FCGR3A+ Monocytes,ctrl,0.006251538605695073,4.922045036437339e-06,520
Pattern3,FCGR3A+ Monocytes,stim,0.30219152782724923,0.26455357670783997,569
Pattern3,Dendritic cells,ctrl,0.004025248934671605,2.3797321773599833e-05,258
Pattern3,Dendritic cells,stim,0.2734535631237985,0.2909133732318878,271
Pattern3,Megakaryocytes,ctrl,0.0005375340816744793,0.00011542578431544825,63
Pattern3,Megakaryocytes,stim,0.009360454293224999,0.0021935924887657166,69
Pattern4,CD4 T cells,ctrl,0.0017439802549768753,0.0001239402699866332,5560
Pattern4,CD4 T cells,stim,0.002087100888792576,7.257580728037283e-05,5678
Pattern4,CD14+ Monocytes,ctrl,0.048838260939948246,0.02835338469594717,2932
Pattern4,CD14+ Monocytes,stim,0.05817304590615049,0.04016527161002159,2765
Pattern4,B cells,ctrl,0.0009077280129005682,3.7495867218240164e-05,1316
Pattern4,B cells,stim,0.0027068476074578562,5.834440889884718e-05,1335
Pattern4,NK cells,ctrl,0.006990986538383581,0.0009003624436445534,855
Pattern4,NK cells,stim,0.007550856360352656,0.00041173325735144317,861
Pattern4,CD8 T cells,ctrl,0.002241332189825339,0.0002003018744289875,811
Pattern4,CD8 T cells,stim,0.0026868340705969956,9.033948663272895e-05,810
Pattern4,FCGR3A+ Monocytes,ctrl,0.4678903326822015,0.4789103865623474,520
Pattern4,FCGR3A+ Monocytes,stim,0.5603357698958242,0.5859928727149963,569
Pattern4,Dendritic cells,ctrl,0.026448012821359477,0.0009504282788839191,258
Pattern4,Dendritic cells,stim,0.04376224627899747,0.025967344641685486,271
Pattern4,Megakaryocytes,ctrl,0.0075731780716956736,8.596700354246423e-05,63
Pattern4,Megakaryocytes,stim,0.0016016650523081057,0.00011510520562296733,69
Pattern5,CD4 T cells,ctrl,0.0072219442366764745,0.00018353623454459012,5560
Pattern5,CD4 T cells,stim,0.30037471659190923,0.2879933714866638,5678
Pattern5,CD14+ Monocytes,ctrl,0.012384343523854367,8.784532110439613e-05,2932
Pattern5,CD14+ Monocytes,stim,0.17346478566919082,0.15879563987255096,2765
Pattern5,B cells,ctrl,0.009393487326800743,0.0002725820813793689,1316
Pattern5,B cells,stim,0.4034240592522233,0.41007497906684875,1335
Pattern5,NK cells,ctrl,0.016092505643044794,0.0007892818539403379,855
Pattern5,NK cells,stim,0.40111535568465373,0.4160195291042328,861
Pattern5,CD8 T cells,ctrl,0.008885339075718061,0.0002046893787337467,811
Pattern5,CD8 T cells,stim,0.31893443830869483,0.2961096167564392,810
Pattern5,FCGR3A+ Monocytes,ctrl,0.04050622014345798,0.003284927224740386,520
Pattern5,FCGR3A+ Monocytes,stim,0.40612992440262224,0.4265984892845154,569
Pattern5,Dendritic cells,ctrl,0.016098732187001877,7.820191603968851e-05,258
Pattern5,Dendritic cells,stim,0.3901169652379737,0.40001872181892395,271
Pattern5,Megakaryocytes,ctrl,0.003116244041566894,9.477593266637996e-05,63
Pattern5,Megakaryocytes,stim,0.049097772182739655,0.00037458984297700226,69
Pattern6,CD4 T cells,ctrl,0.003975237481502397,5.829482870467473e-05,5560
Pattern6,CD4 T cells,stim,0.004766207282485702,7.024383012321778e-05,5678
Pattern6,CD14+ Monocytes,ctrl,0.09542350860476091,0.07117661833763123,2932
Pattern6,CD14+ Monocytes,stim,0.10177716005233037,0.08617866039276123,2765
Pattern6,B cells,ctrl,0.18028857653553132,0.17769091576337814,1316
Pattern6,B cells,stim,0.1695868025776278,0.1658778339624405,1335
Pattern6,NK cells,ctrl,0.007508205110828372,0.0003140220360364765,855
Pattern6,NK cells,stim,0.007306216935325928,0.00024239787308033556,861
Pattern6,CD8 T cells,ctrl,0.0138950826993472,0.0005414850893430412,811
Pattern6,CD8 T cells,stim,0.013652230350764419,0.00061793890199624,810
Pattern6,FCGR3A+ Monocytes,ctrl,0.1013691979920385,0.1018138974905014,520
Pattern6,FCGR3A+ Monocytes,stim,0.10109161158988304,0.09951885044574738,569
Pattern6,Dendritic cells,ctrl,0.48924135127963947,0.4674874097108841,258
Pattern6,Dendritic cells,stim,0.5238385887548492,0.5120295882225037,271
Pattern6,Megakaryocytes,ctrl,0.006922136507051214,5.2797928219661117e-05,63
Pattern6,Megakaryocytes,stim,0.007064644572813489,6.34123498457484e-05,69
