pattern,replicate,condition,mean_activity,median_activity,n_cells
Pattern1,patient_101,ctrl,0.18002307698956277,0.007952857296913862,858
Pattern1,patient_101,stim,0.06429756693724457,0.0009915672126226127,1166
Pattern1,patient_107,ctrl,0.2513173329035256,0.037199463695287704,517
Pattern1,patient_107,stim,0.06696475843253884,0.008457218296825886,525
Pattern1,patient_1015,ctrl,0.17395382867402306,0.01594381593167782,2738
Pattern1,patient_1015,stim,0.04222132139963347,0.0006020753353368491,2352
Pattern1,patient_1016,ctrl,0.11463224913305402,0.002409640233963728,1723
Pattern1,patient_1016,stim,0.03676846203549235,0.0004477926413528621,1635
Pattern1,patient_1039,ctrl,0.16578990451591008,0.013972830027341843,461
Pattern1,patient_1039,stim,0.05096502023832412,0.00047627202002331614,641
Pattern1,patient_1244,ctrl,0.13870238521306394,0.003142420668154955,1879
Pattern1,patient_1244,stim,0.0333544077730693,0.0003414179664105177,1464
Pattern1,patient_1256,ctrl,0.11610606319935002,0.0003553132410161197,2108
Pattern1,patient_1256,stim,0.03704489274757323,0.00012442756269592792,2026
Pattern1,patient_1488,ctrl,0.08404895766540166,0.0002968758053611964,2031
Pattern1,patient_1488,stim,0.025486681473957093,8.748219988774508e-05,2549
Pattern2,patient_101,ctrl,0.19377704277160654,0.16646073013544083,858
Pattern2,patient_101,stim,0.13706048207059074,0.10902833938598633,1166
Pattern2,patient_107,ctrl,0.1703182320329122,0.14123979210853577,517
Pattern2,patient_107,stim,0.12975441074184066,0.11200760304927826,525
Pattern2,patient_1015,ctrl,0.18914717055480643,0.16451650112867355,2738
Pattern2,patient_1015,stim,0.13354593224366365,0.10649917274713516,2352
Pattern2,patient_1016,ctrl,0.18108438695722948,0.16695591807365417,1723
Pattern2,patient_1016,stim,0.1283287206502126,0.11383780092000961,1635
Pattern2,patient_1039,ctrl,0.2007672555692144,0.1796453297138214,461
Pattern2,patient_1039,stim,0.15198561692701282,0.11965692788362503,641
Pattern2,patient_1244,ctrl,0.2351978532739911,0.21750615537166595,1879
Pattern2,patient_1244,stim,0.1815345490392336,0.16723300516605377,1464
Pattern2,patient_1256,ctrl,0.21429672649921921,0.19548840075731277,2108
Pattern2,patient_1256,stim,0.1422788897910557,0.122833963483572,2026
Pattern2,patient_1488,ctrl,0.223722996100255,0.2039809226989746,2031
Pattern2,patient_1488,stim,0.15319260304699678,0.13354545831680298,2549
Pattern3,patient_101,ctrl,0.0016954409038501623,6.936650243005715e-05,858
Pattern3,patient_101,stim,0.15199033319418273,0.009500083979219198,1166
Pattern3,patient_107,ctrl,0.0018792839292548261,7.382260810118169e-05,517
Pattern3,patient_107,stim,0.1928687372210691,0.013615263625979424,525
Pattern3,patient_1015,ctrl,0.00502979792436755,0.00010089302304550074,2738
Pattern3,patient_1015,stim,0.19019381307094657,0.015588664915412664,2352
Pattern3,patient_1016,ctrl,0.0052236933663468346,0.00016688909090589732,1723
Pattern3,patient_1016,stim,0.11019166160397398,0.0010222812416031957,1635
Pattern3,patient_1039,ctrl,0.003088017682725384,0.00010559162183199078,461
Pattern3,patient_1039,stim,0.15052646680174223,0.006732391193509102,641
Pattern3,patient_1244,ctrl,0.0017065850438980797,8.09474295238033e-05,1879
Pattern3,patient_1244,stim,0.12391068517348243,0.002886769361793995,1464
Pattern3,patient_1256,ctrl,0.0029064872755449585,0.00012239645730005577,2108
Pattern3,patient_1256,stim,0.1163448251393964,0.0017632359522394836,2026
Pattern3,patient_1488,ctrl,0.0011619298640051113,8.871204045135528e-05,2031
Pattern3,patient_1488,stim,0.08349975418623824,0.0006884114700369537,2549
Pattern4,patient_101,ctrl,0.05168284377526436,0.00022781120060244575,858
Pattern4,patient_101,stim,0.07584208824851417,0.0002956399694085121,1166
Pattern4,patient_107,ctrl,0.03507272569540041,0.0002973193768411875,517
Pattern4,patient_107,stim,0.04791214058707526,0.00017148812185041606,525
Pattern4,patient_1015,ctrl,0.0488328784588311,0.00030158358276821673,2738
Pattern4,patient_1015,stim,0.056827213976201066,0.0003062353644054383,2352
Pattern4,patient_1016,ctrl,0.03729128266392054,0.00027861061971634626,1723
Pattern4,patient_1016,stim,0.04758142148039348,0.00018386435112915933,1635
Pattern4,patient_1039,ctrl,0.030682132515950943,0.00020767022215295583,461
Pattern4,patient_1039,stim,0.043888448241924664,0.0001808884262572974,641
Pattern4,patient_1244,ctrl,0.0217735561955743,0.00014888634905219078,1879
Pattern4,patient_1244,stim,0.01874905682227044,0.00011379683201084845,1464
Pattern4,patient_1256,ctrl,0.02360914577389863,0.00027084779867436737,2108
Pattern4,patient_1256,stim,0.030465372520703065,0.00014972846111049876,2026
Pattern4,patient_1488,ctrl,0.023251960073553037,0.00015214172890409827,2031
Pattern4,patient_1488,stim,0.02881463029468146,0.0001111692690756172,2549
Pattern5,patient_101,ctrl,0.0051965725657052595,9.380401024827734e-05,858
