pattern,gene,rank,cogaps_weight,contrast_scope,cell_type,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern1,FTH1,1,10.152085304260254,by_cell_type,B cells,-1.3098243441406336,-1.2582921425349785,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTH1,1,10.152085304260254,by_cell_type,CD14+ Monocytes,-1.133141654337639,-1.0824018232817014,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTH1,1,10.152085304260254,by_cell_type,CD4 T cells,-0.845984476155722,-0.8403689297802117,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTH1,1,10.152085304260254,by_cell_type,CD8 T cells,-1.0021307651834175,-0.9182330838954496,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,FTH1,1,10.152085304260254,by_cell_type,Dendritic cells,-1.080423242998389,-0.9944972104603984,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,FTH1,1,10.152085304260254,by_cell_type,FCGR3A+ Monocytes,-1.0869520560166464,-1.1057151303919106,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,FTH1,1,10.152085304260254,by_cell_type,Megakaryocytes,0.468200785918107,0.468200785918107,1,1,0,0,1.0,,up_in_stim,moderate,
Pattern1,FTH1,1,10.152085304260254,by_cell_type,NK cells,-0.6397938651378916,-0.6964991210954503,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTL,2,9.500815391540527,by_cell_type,B cells,-0.925740020974422,-0.8218382879384096,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTL,2,9.500815391540527,by_cell_type,CD14+ Monocytes,-0.604903657267645,-0.5751191166642826,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTL,2,9.500815391540527,by_cell_type,CD4 T cells,-0.671531719426218,-0.6680025334571393,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,FTL,2,9.500815391540527,by_cell_type,CD8 T cells,-0.7888354557232727,-0.7397202165468251,5,0,5,0,1.0,0.0625,down_in_stim,strong,0.08003048780487805
Pattern1,FTL,2,9.500815391540527,by_cell_type,Dendritic cells,-0.4946768045828482,-0.5708221172266859,6,1,5,0,0.8333333333333334,0.0625,down_in_stim,moderate,0.08003048780487805
Pattern1,FTL,2,9.500815391540527,by_cell_type,FCGR3A+ Monocytes,-0.6844409423777827,-0.6948111792041063,6,0,6,0,1.0,0.03125,down_in_stim,strong,0.04843173431734318
Pattern1,FTL,2,9.500815391540527,by_cell_type,Megakaryocytes,-0.2730577877128404,-0.2730577877128404,1,0,1,0,1.0,,down_in_stim,moderate,
Pattern1,FTL,2,9.500815391540527,by_cell_type,NK cells,-0.7394631680025365,-0.81937274878912,8,1,7,0,0.875,0.015625,down_in_stim,strong,0.03815406976744186
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,B cells,0.12940939917006888,-0.3900250147269144,8,2,6,0,0.75,0.3125,up_in_stim,suggestive,0.35377358490566035
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,CD14+ Monocytes,-1.1678901249964073,-1.1676583575228587,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.020007621951219513
Pattern1,TIMP1,3,7.712009906768799,by_cell_type,CD4 T cells,-0.6144047730462505,-0.6751378189236963,8,1,7,0,0.875,0.015625,down_in_stim,strong,0.03815406976744186
