pattern,gene,rank,cogaps_weight,contrast_scope,mean_log2fc_stim_vs_ctrl,median_log2fc_stim_vs_ctrl,n_pairs,n_up_pairs,n_down_pairs,n_zero_pairs,sign_consistency,wilcoxon_pvalue,direction,evidence_strength,wilcoxon_fdr
Pattern1,FTH1,1,10.152085304260254,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,FTL,2,9.500815391540527,global,-0.593321764978219,-0.5788279542516346,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,TIMP1,3,7.712009906768799,global,-1.1250063065886027,-1.147546381288869,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,S100A11,4,6.153379440307617,global,-0.14641940118164753,-0.171491678562262,8,0,8,0,1.0,0.0078125,down_in_stim,suggestive,0.009191176470588236
Pattern1,SH3BGRL3,5,6.133460998535156,global,-0.9499671744314222,-0.9152710069306078,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,S100A10,6,6.081233024597168,global,-0.46461630736359205,-0.4676320244222909,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern1,CD63,7,5.928230285644531,global,-0.4827355084906879,-0.48859448061552957,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern1,GAPDH,8,5.831065654754639,global,-1.166926724336743,-1.1686436290494608,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,ACTB,9,5.680990695953369,global,-1.191134450640187,-1.203250670285965,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,TYROBP,10,5.573038101196289,global,0.010206217091043746,0.061815378581500546,8,5,3,0,0.625,0.4609375,up_in_stim,weak_or_mixed,0.47683189655172414
Pattern1,S100A6,11,5.461409091949463,global,-0.9138214527063762,-0.9395523687695322,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,FCER1G,12,5.3612589836120605,global,-0.28027229649236096,-0.31945650470225484,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern1,PFN1,13,5.28338623046875,global,-1.1529439127604812,-1.1333902804768092,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern1,C15orf48,14,5.269685745239258,global,0.0100142463260815,0.04007892974223726,8,5,3,0,0.625,0.9453125,up_in_stim,weak_or_mixed,0.9453125
Pattern1,LGALS1,15,5.180225372314453,global,-0.5125643714982304,-0.5326281526583765,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,FTH1,1,12.976593971252441,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,FTL,2,5.554069519042969,global,-0.593321764978219,-0.5788279542516346,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,ACTB,3,5.149622440338135,global,-1.191134450640187,-1.203250670285965,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,PFN1,4,3.6003952026367188,global,-1.1529439127604812,-1.1333902804768092,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,SH3BGRL3,5,2.9782204627990723,global,-0.9499671744314222,-0.9152710069306078,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,VIM,6,1.9378620386123657,global,-0.9028984066780674,-0.8847034064914281,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,ANXA1,7,1.7571991682052612,global,0.29945919908260876,0.3028925706927348,8,8,0,0,1.0,0.0078125,up_in_stim,moderate,0.009191176470588236
Pattern2,GAPDH,8,1.4900200366973877,global,-1.166926724336743,-1.1686436290494608,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,CCR7,9,1.3339897394180298,global,0.3761356398404394,0.3446862849561265,8,7,1,0,0.875,0.078125,up_in_stim,moderate,0.08223684210526316
Pattern2,HSPA8,10,1.269834041595459,global,0.24835576782671698,0.20045352067296562,8,8,0,0,1.0,0.0078125,up_in_stim,suggestive,0.009191176470588236
Pattern2,EMP3,11,1.257824182510376,global,-0.3175052094505022,-0.34723677457478797,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern2,LTB,12,1.1858330965042114,global,-0.4516125685395367,-0.4751590365024816,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern2,RGCC,13,1.087324857711792,global,-1.6865826175256455,-1.6095805477593617,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,ACTG1,14,0.8846946358680725,global,-0.9046484677024709,-0.8980690136503995,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern2,CREM,15,0.8545056581497192,global,0.23513232389089445,0.1956865993458976,8,7,1,0,0.875,0.015625,up_in_stim,suggestive,0.01768867924528302
Pattern3,CXCL10,1,8.157148361206055,global,6.929894807881839,7.088036797207199,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,ISG15,2,7.785658359527588,global,6.173215904309307,6.1679878237751184,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,APOBEC3A,3,7.3655242919921875,global,5.1390045150471515,5.154798072460706,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,IFITM3,4,6.758245468139648,global,4.770344499175087,4.6582063651082635,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,FTL,5,6.098469257354736,global,-0.593321764978219,-0.5788279542516346,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern3,RSAD2,6,5.738306999206543,global,6.923204508111811,7.157937751168836,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,TNFSF10,7,5.339033603668213,global,5.049335923250152,4.978036180206237,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,SAT1,8,4.981949329376221,global,1.3698097478044962,1.3720088370730004,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,FTH1,9,4.963209629058838,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern3,SOD2,10,4.658294200897217,global,0.5061737062331995,0.5799089770465056,8,7,1,0,0.875,0.015625,up_in_stim,strong,0.01768867924528302
Pattern3,ISG20,11,4.655680179595947,global,3.668503901344236,3.574277346822541,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,TYMP,12,4.610434532165527,global,1.0114132564527436,1.0586114372380013,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,IFIT3,13,4.535574913024902,global,6.394614357453015,5.990546314734326,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,LY6E,14,4.440127372741699,global,4.18328625296589,4.07367569844011,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern3,C15orf48,15,4.43681526184082,global,0.0100142463260815,0.04007892974223726,8,5,3,0,0.625,0.9453125,up_in_stim,weak_or_mixed,0.9453125
Pattern4,TIMP1,1,5.443826198577881,global,-1.1250063065886027,-1.147546381288869,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern4,FTH1,2,4.921694755554199,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern4,MS4A7,3,4.810563564300537,global,0.5836782303818717,0.6229493932144763,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern4,FCGR3A,4,4.622005462646484,global,-0.371067253893552,-0.14775923514698608,8,1,7,0,0.875,0.0546875,down_in_stim,moderate,0.05859375
Pattern4,SOD2,5,4.321434020996094,global,0.5061737062331995,0.5799089770465056,8,7,1,0,0.875,0.015625,up_in_stim,strong,0.01768867924528302
Pattern4,S100A11,6,4.091746807098389,global,-0.14641940118164753,-0.171491678562262,8,0,8,0,1.0,0.0078125,down_in_stim,suggestive,0.009191176470588236
Pattern4,TYROBP,7,3.9278762340545654,global,0.010206217091043746,0.061815378581500546,8,5,3,0,0.625,0.4609375,up_in_stim,weak_or_mixed,0.47683189655172414
Pattern4,FCER1G,8,3.808145523071289,global,-0.28027229649236096,-0.31945650470225484,8,0,8,0,1.0,0.0078125,down_in_stim,moderate,0.009191176470588236
Pattern4,FTL,9,3.5792596340179443,global,-0.593321764978219,-0.5788279542516346,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern4,ACTB,10,3.5721967220306396,global,-1.191134450640187,-1.203250670285965,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern4,SAT1,11,3.444181442260742,global,1.3698097478044962,1.3720088370730004,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern4,CXCL16,12,3.162369728088379,global,-0.7449759228884565,-0.6375207910948815,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern4,PSAP,13,3.0055530071258545,global,-0.7303364961821899,-0.7007111416763276,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern4,CTSS,14,2.854546070098877,global,0.6981979018793558,0.7427210447986274,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern4,CST3,15,2.71581768989563,global,0.5460802851478448,0.47390727940139143,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,ISG15,1,9.808597564697266,global,6.173215904309307,6.1679878237751184,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,ISG20,2,8.381224632263184,global,3.668503901344236,3.574277346822541,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,IFI6,3,6.584771633148193,global,4.688121548864537,4.530177404792729,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,IFIT3,4,4.9311394691467285,global,6.394614357453015,5.990546314734326,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,LY6E,5,4.535023212432861,global,4.18328625296589,4.07367569844011,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,IFIT1,6,4.0107550621032715,global,7.416022595907107,7.327422098807611,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,MX1,7,3.8567159175872803,global,4.9379745848254455,5.017547696994877,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
Pattern5,FTH1,8,2.999697685241699,global,-1.0809246736652032,-1.0592102718775482,8,0,8,0,1.0,0.0078125,down_in_stim,strong,0.009191176470588236
Pattern5,IFIT2,9,1.600779414176941,global,6.3905043959181675,6.030985178542449,8,8,0,0,1.0,0.0078125,up_in_stim,strong,0.009191176470588236
