contrast_scope,replicate,cell_type,gene,ctrl_cpm,stim_cpm,log2fc_stim_vs_ctrl,ctrl_n_cells,stim_n_cells
by_cell_type,patient_101,B cells,ACTB,22232.660090809455,10473.800006197514,-1.0858591867981513,106,141
by_cell_type,patient_101,B cells,ACTG1,6053.963780596003,3346.6579901459518,-0.8550625422183948,106,141
by_cell_type,patient_101,B cells,ANXA1,156.5680288085173,216.9130178798302,0.4690487761515518,106,141
by_cell_type,patient_101,B cells,APOBEC3A,0.0,216.9130178798302,8.764294515919154,106,141
by_cell_type,patient_101,B cells,BST2,1200.354887531966,5701.71361284125,2.247460260738327,106,141
by_cell_type,patient_101,B cells,C15orf48,104.37868587234486,216.9130178798302,1.0517168122963882,106,141
by_cell_type,patient_101,B cells,CCR7,11899.170189447314,20885.624864429363,0.8116232564105239,106,141
by_cell_type,patient_101,B cells,CD63,2505.088460936277,1890.2420129528061,-0.4061969491042525,106,141
by_cell_type,patient_101,B cells,CD74,71395.02113668389,43785.44203774287,-0.705365821416132,106,141
by_cell_type,patient_101,B cells,CREM,5427.691665361933,8893.433733073038,0.7123499933642545,106,141
by_cell_type,patient_101,B cells,CST3,52.18934293617243,123.95029593133152,1.2399865671488328,106,141
by_cell_type,patient_101,B cells,CTSS,1617.8696310213454,2200.1177527811346,0.44336741807074986,106,141
by_cell_type,patient_101,B cells,CXCL10,0.0,35356.82191441232,16.109721383715552,106,141
by_cell_type,patient_101,B cells,CXCL16,156.5680288085173,61.97514796566576,-1.3300352316962414,106,141
by_cell_type,patient_101,B cells,EMP3,8141.5374980429,3780.4840259056123,-1.1066281116392584,106,141
by_cell_type,patient_101,B cells,FCER1G,104.37868587234486,185.92544389699728,0.8298772628765088,106,141
by_cell_type,patient_101,B cells,FCGR3A,104.37868587234486,0.0,-7.712577703622766,106,141
by_cell_type,patient_101,B cells,FTH1,194770.62783779553,71550.30832636112,-1.4447398627913444,106,141
by_cell_type,patient_101,B cells,FTL,27973.487813788422,14688.110067862788,-0.929388045801911,106,141
by_cell_type,patient_101,B cells,GAPDH,6836.803924638589,2014.1923088841377,-1.7628680339534917,106,141
by_cell_type,patient_101,B cells,HLA-DMA,2191.9524033192424,898.6396455021536,-1.2859284196425431,106,141
by_cell_type,patient_101,B cells,HLA-DPA1,10124.732529617451,9172.321898918533,-0.14251750687717113,106,141
by_cell_type,patient_101,B cells,HLA-DPB1,10124.732529617451,6755.291128257569,-0.5837584108804403,106,141
by_cell_type,patient_101,B cells,HLA-DQA1,7254.318668127968,3842.4591738712775,-0.9167219051998892,106,141
by_cell_type,patient_101,B cells,HLA-DQB1,8245.916183915246,3470.608286077283,-1.2483709009005697,106,141
by_cell_type,patient_101,B cells,HLA-DRA,33766.50487970356,20916.612438412198,-0.6909305140893043,106,141
by_cell_type,patient_101,B cells,HLA-DRB1,21345.441260894524,12209.104149236156,-0.8059453533200607,106,141
by_cell_type,patient_101,B cells,HSP90AA1,4540.472835447002,5763.688760806916,0.3441161740081444,106,141
by_cell_type,patient_101,B cells,HSP90AB1,6210.53180940452,8583.557993244709,0.4668268663911608,106,141
by_cell_type,patient_101,B cells,HSPA8,5897.395751787485,5143.937281150259,-0.1971870442065562,106,141
by_cell_type,patient_101,B cells,IFI6,208.75737174468972,13975.395866257631,6.061518506618242,106,141
by_cell_type,patient_101,B cells,IFIT1,0.0,9451.210064764029,14.206359659367136,106,141
by_cell_type,patient_101,B cells,IFIT2,208.75737174468972,8118.744383502215,5.277995117194372,106,141
by_cell_type,patient_101,B cells,IFIT3,0.0,18282.6686498714,15.158228504611701,106,141
by_cell_type,patient_101,B cells,IFITM3,52.18934293617243,2881.844380403458,5.7735877190791,106,141
by_cell_type,patient_101,B cells,IRF7,939.4081728511038,9141.3343249357,3.2818919532280493,106,141
by_cell_type,patient_101,B cells,ISG15,730.6508011064141,44064.33020358836,5.913314840523459,106,141
by_cell_type,patient_101,B cells,ISG20,4331.715463702311,44808.03197917635,3.3705965589677547,106,141
by_cell_type,patient_101,B cells,LGALS1,1983.1950315745526,805.676923553655,-1.2990218539571856,106,141
by_cell_type,patient_101,B cells,LTB,2557.277803872449,1983.2047349013044,-0.36669363828513113,106,141
by_cell_type,patient_101,B cells,LY6E,469.7040864255519,9761.08580459236,4.375756555548282,106,141
by_cell_type,patient_101,B cells,MS4A7,156.5680288085173,30.98757398283288,-2.318535038177469,106,141
by_cell_type,patient_101,B cells,MX1,313.1360576170346,10876.638467974342,5.116063824974994,106,141
by_cell_type,patient_101,B cells,OAS1,260.94671468086216,3656.53372997428,3.8060850865542353,106,141
by_cell_type,patient_101,B cells,PFN1,13986.743906894211,6662.3284063090705,-1.069905072871702,106,141
by_cell_type,patient_101,B cells,PLSCR1,417.51474348937944,7065.1668680858975,4.079199998128578,106,141
by_cell_type,patient_101,B cells,PSAP,2191.9524033192424,836.6644975364879,-1.3889624868550836,106,141
by_cell_type,patient_101,B cells,RGCC,1617.8696310213454,185.92544389699728,-3.1178704710102636,106,141
by_cell_type,patient_101,B cells,RSAD2,0.0,3470.608286077283,12.761180657420077,106,141
by_cell_type,patient_101,B cells,S100A10,1043.7868587234486,557.7763316909919,-0.9034667661798874,106,141
by_cell_type,patient_101,B cells,S100A11,1356.9229163404832,1177.5278113476497,-0.20449667508090918,106,141
by_cell_type,patient_101,B cells,S100A6,2035.384374510725,1208.5153853304823,-0.7518230239663808,106,141
by_cell_type,patient_101,B cells,SAT1,2452.8991180001044,10132.936692386353,2.0462696830670275,106,141
by_cell_type,patient_101,B cells,SH3BGRL3,5793.01706591514,1797.2792910043072,-1.6882235143643918,106,141
by_cell_type,patient_101,B cells,SOD2,782.8401440425865,2293.0804747296334,1.549890728509009,106,141
by_cell_type,patient_101,B cells,TIMP1,626.2721152340692,464.81360974249327,-0.42973761205297656,106,141
by_cell_type,patient_101,B cells,TNFSF10,104.37868587234486,7777.881069691053,6.212676496434546,106,141
by_cell_type,patient_101,B cells,TYMP,1252.5442304681385,3098.7573982832882,1.306485237631616,106,141
