pattern,gene,rank,cogaps_weight
Pattern1,FTH1,1,10.152085304260254
Pattern1,FTL,2,9.500815391540527
Pattern1,TIMP1,3,7.712009906768799
Pattern1,S100A11,4,6.153379440307617
Pattern1,SH3BGRL3,5,6.133460998535156
Pattern1,S100A10,6,6.081233024597168
Pattern1,CD63,7,5.928230285644531
Pattern1,GAPDH,8,5.831065654754639
Pattern1,ACTB,9,5.680990695953369
Pattern1,TYROBP,10,5.573038101196289
Pattern1,S100A6,11,5.461409091949463
Pattern1,FCER1G,12,5.3612589836120605
Pattern1,PFN1,13,5.28338623046875
Pattern1,C15orf48,14,5.269685745239258
Pattern1,LGALS1,15,5.180225372314453
Pattern2,FTH1,1,12.976593971252441
Pattern2,FTL,2,5.554069519042969
Pattern2,ACTB,3,5.149622440338135
Pattern2,PFN1,4,3.6003952026367188
Pattern2,SH3BGRL3,5,2.9782204627990723
Pattern2,VIM,6,1.9378620386123657
Pattern2,ANXA1,7,1.7571991682052612
Pattern2,GAPDH,8,1.4900200366973877
Pattern2,CCR7,9,1.3339897394180298
Pattern2,HSPA8,10,1.269834041595459
Pattern2,EMP3,11,1.257824182510376
Pattern2,LTB,12,1.1858330965042114
Pattern2,RGCC,13,1.087324857711792
Pattern2,ACTG1,14,0.8846946358680725
Pattern2,CREM,15,0.8545056581497192
Pattern3,CXCL10,1,8.157148361206055
Pattern3,ISG15,2,7.785658359527588
Pattern3,APOBEC3A,3,7.3655242919921875
Pattern3,IFITM3,4,6.758245468139648
Pattern3,FTL,5,6.098469257354736
Pattern3,RSAD2,6,5.738306999206543
Pattern3,TNFSF10,7,5.339033603668213
Pattern3,SAT1,8,4.981949329376221
Pattern3,FTH1,9,4.963209629058838
Pattern3,SOD2,10,4.658294200897217
Pattern3,ISG20,11,4.655680179595947
Pattern3,TYMP,12,4.610434532165527
Pattern3,IFIT3,13,4.535574913024902
Pattern3,LY6E,14,4.440127372741699
Pattern3,C15orf48,15,4.43681526184082
Pattern4,TIMP1,1,5.443826198577881
Pattern4,FTH1,2,4.921694755554199
Pattern4,MS4A7,3,4.810563564300537
Pattern4,FCGR3A,4,4.622005462646484
Pattern4,SOD2,5,4.321434020996094
Pattern4,S100A11,6,4.091746807098389
Pattern4,TYROBP,7,3.9278762340545654
Pattern4,FCER1G,8,3.808145523071289
Pattern4,FTL,9,3.5792596340179443
Pattern4,ACTB,10,3.5721967220306396
Pattern4,SAT1,11,3.444181442260742
Pattern4,CXCL16,12,3.162369728088379
Pattern4,PSAP,13,3.0055530071258545
Pattern4,CTSS,14,2.854546070098877
Pattern4,CST3,15,2.71581768989563
Pattern5,ISG15,1,9.808597564697266
Pattern5,ISG20,2,8.381224632263184
Pattern5,IFI6,3,6.584771633148193
Pattern5,IFIT3,4,4.9311394691467285
Pattern5,LY6E,5,4.535023212432861
Pattern5,IFIT1,6,4.0107550621032715
Pattern5,MX1,7,3.8567159175872803
Pattern5,FTH1,8,2.999697685241699
Pattern5,IFIT2,9,1.600779414176941
Pattern5,SAT1,10,1.5642191171646118
Pattern5,IRF7,11,1.5567588806152344
Pattern5,TNFSF10,12,1.3978185653686523
Pattern5,OAS1,13,1.3517608642578125
Pattern5,PLSCR1,14,1.1741489171981812
Pattern5,BST2,15,1.0784711837768555
Pattern6,CD74,1,13.793898582458496
Pattern6,HLA-DRA,2,12.018577575683594
Pattern6,HLA-DRB1,3,10.16970443725586
Pattern6,HLA-DPA1,4,8.471000671386719
Pattern6,HLA-DPB1,5,8.204859733581543
Pattern6,FTL,6,5.5781474113464355
Pattern6,ACTB,7,4.715860843658447
Pattern6,FTH1,8,3.585453987121582
Pattern6,PFN1,9,3.1363472938537598
Pattern6,HLA-DQB1,10,2.766254186630249
Pattern6,HLA-DQA1,11,2.259584426879883
Pattern6,HSP90AB1,12,1.9837803840637207
Pattern6,HSP90AA1,13,1.9631909132003784
Pattern6,ACTG1,14,1.6350189447402954
Pattern6,HLA-DMA,15,1.6193488836288452
