"trace_index","relative_progress","chisq","atomsA","atomsP","delta_chisq","delta_atomsA","delta_atomsP"
1,0.025,253439072,3094,39452,NA,NA,NA
2,0.05,233264832,5011,62658,-20174240,1917,23206
3,0.075,227536544,5847,70823,-5728288,836,8165
4,0.1,225463696,6499,75556,-2072848,652,4733
5,0.125,224453152,7018,78738,-1010544,519,3182
6,0.15,223932128,7349,81876,-521024,331,3138
7,0.175,223668528,7743,85327,-263600,394,3451
8,0.2,223416128,8019,87534,-252400,276,2207
9,0.225,223128672,8204,90054,-287456,185,2520
10,0.25,222810224,8415,92632,-318448,211,2578
11,0.275,222639168,8535,93405,-171056,120,773
12,0.3,222572320,8548,94325,-66848,13,920
13,0.325,222501104,8493,94427,-71216,-55,102
14,0.35,222464000,8470,94962,-37104,-23,535
15,0.375,222457072,8545,95590,-6928,75,628
16,0.4,222445232,8574,95905,-11840,29,315
17,0.425,222438032,8537,96241,-7200,-37,336
18,0.45,222436048,8576,96479,-1984,39,238
19,0.475,222432304,8575,96562,-3744,-1,83
20,0.5,222422272,8578,96918,-10032,3,356
21,0.525,222430496,8605,96500,8224,27,-418
22,0.55,222438496,8589,96795,8000,-16,295
23,0.575,222432672,8557,96865,-5824,-32,70
24,0.6,222424096,8488,96647,-8576,-69,-218
25,0.625,222414208,8523,96451,-9888,35,-196
26,0.65,222428080,8577,96177,13872,54,-274
27,0.675,222418496,8532,96442,-9584,-45,265
28,0.7,222420448,8483,96179,1952,-49,-263
29,0.725,222426944,8474,95917,6496,-9,-262
30,0.75,222428752,8423,95838,1808,-51,-79
31,0.775,222428496,8402,95559,-256,-21,-279
32,0.8,222434432,8398,95746,5936,-4,187
33,0.825,222428848,8418,95971,-5584,20,225
34,0.85,222434128,8404,95859,5280,-14,-112
35,0.875,222418592,8423,95712,-15536,19,-147
36,0.9,222434432,8440,95425,15840,17,-287
37,0.925,222422592,8438,95548,-11840,-2,123
38,0.95,222428800,8414,95815,6208,-24,267
39,0.975,222434176,8401,95820,5376,-13,5
40,1,222432704,8352,95992,-1472,-49,172
