"pattern","cell_type","condition","mean_activity","median_activity","n_cells"
"Pattern1","CD4 T cells","ctrl",0.00257337352578552,0.000270238946541212,5560
"Pattern1","CD14+ Monocytes","ctrl",0.0503938647367863,0.0311772041022778,2932
"Pattern1","B cells","ctrl",0.00127269329533767,5.97834950895049e-05,1316
"Pattern1","NK cells","ctrl",0.00844826500420192,0.00230080191977322,855
"Pattern1","CD8 T cells","ctrl",0.00312269407572794,0.000439877534518018,811
"Pattern1","FCGR3A+ Monocytes","ctrl",0.468247550869217,0.48011240363121,520
"Pattern1","Dendritic cells","ctrl",0.0278788876701692,0.00417115911841393,258
"Pattern1","Megakaryocytes","ctrl",0.00789078058756598,0.00018788046145346,63
"Pattern1","CD4 T cells","stim",0.00325405759441756,0.000193218387721572,5678
"Pattern1","CD14+ Monocytes","stim",0.0586885164997986,0.0400378629565239,2765
"Pattern1","B cells","stim",0.0036557564576581,0.00011423061368987,1335
"Pattern1","NK cells","stim",0.00921271424809802,0.00160724751185626,861
"Pattern1","CD8 T cells","stim",0.00394913690125367,0.000235144128964748,810
"Pattern1","FCGR3A+ Monocytes","stim",0.560332293748227,0.586251080036163,569
"Pattern1","Dendritic cells","stim",0.0445059179514652,0.0272283889353275,271
"Pattern1","Megakaryocytes","stim",0.00232391096656958,0.000277896149782464,69
"Pattern2","CD4 T cells","ctrl",0.00587636374077732,0.000214762141695246,5560
"Pattern2","CD14+ Monocytes","ctrl",0.494525572769141,0.513404101133347,2932
"Pattern2","B cells","ctrl",0.00336167457343789,2.97101532851229e-05,1316
"Pattern2","NK cells","ctrl",0.0132831311816816,0.00479578180238605,855
"Pattern2","CD8 T cells","ctrl",0.00929979534932821,0.00276391720399261,811
"Pattern2","FCGR3A+ Monocytes","ctrl",0.243293296399112,0.223583869636059,520
"Pattern2","Dendritic cells","ctrl",0.327406021699901,0.334811106324196,258
"Pattern2","Megakaryocytes","ctrl",0.00890474006760137,0.000172985266544856,63
"Pattern2","CD4 T cells","stim",0.0040606075660891,8.02258036856074e-05,5678
"Pattern2","CD14+ Monocytes","stim",0.150193470697163,0.138840049505234,2765
"Pattern2","B cells","stim",0.00201237012284457,1.09708716991008e-05,1335
"Pattern2","NK cells","stim",0.00984359998392153,0.00150912278331816,861
"Pattern2","CD8 T cells","stim",0.00789945494183461,0.000777684501372278,810
"Pattern2","FCGR3A+ Monocytes","stim",0.025207583348155,6.7585140641313e-05,569
"Pattern2","Dendritic cells","stim",0.0842558924556107,0.0607174709439278,271
"Pattern2","Megakaryocytes","stim",0.000791123667150805,9.29691668716259e-05,69
"Pattern3","CD4 T cells","ctrl",0.0038158705618557,5.36184143129503e-05,5560
"Pattern3","CD14+ Monocytes","ctrl",0.0951775883221681,0.0708529502153397,2932
"Pattern3","B cells","ctrl",0.179594025608479,0.176666267216206,1316
"Pattern3","NK cells","ctrl",0.00715687519688838,0.000249090662691742,855
"Pattern3","CD8 T cells","ctrl",0.0136086061474122,0.00050810439279303,811
"Pattern3","FCGR3A+ Monocytes","ctrl",0.101406380103517,0.101706150919199,520
"Pattern3","Dendritic cells","ctrl",0.488632409956104,0.465949967503548,258
"Pattern3","Megakaryocytes","ctrl",0.00681693664692931,4.65379307570402e-05,63
"Pattern3","CD4 T cells","stim",0.00430299407557543,4.53858847322408e-05,5678
"Pattern3","CD14+ Monocytes","stim",0.100274559597642,0.0842496901750565,2765
"Pattern3","B cells","stim",0.168954972119798,0.165506154298782,1335
"Pattern3","NK cells","stim",0.00674512888156202,0.000133374182041734,861
"Pattern3","CD8 T cells","stim",0.0130240028460765,0.000321415107464418,810
"Pattern3","FCGR3A+ Monocytes","stim",0.100207161004972,0.0991104617714882,569
"Pattern3","Dendritic cells","stim",0.522323965696391,0.509576022624969,271
"Pattern3","Megakaryocytes","stim",0.00702540382312493,5.54272191948257e-05,69
"Pattern4","CD4 T cells","ctrl",0.00763385551569019,0.000244142232986633,5560
"Pattern4","CD14+ Monocytes","ctrl",0.0126646009578298,9.88360588962678e-05,2932
"Pattern4","B cells","ctrl",0.00989358286418336,0.000366971813491546,1316
"Pattern4","NK cells","ctrl",0.0168696236838852,0.00142164702992886,855
"Pattern4","CD8 T cells","ctrl",0.00959317472399697,0.000297367485472932,811
"Pattern4","FCGR3A+ Monocytes","ctrl",0.0404679268610731,0.00232171721290797,520
"Pattern4","Dendritic cells","ctrl",0.0164168030104023,8.88803842826746e-05,258
"Pattern4","Megakaryocytes","ctrl",0.0034899432616262,0.000101120815088507,63
"Pattern4","CD4 T cells","stim",0.30086381599426,0.289101630449295,5678
