"pattern","replicate","condition","mean_activity","median_activity","n_cells"
"Pattern1","patient_101","ctrl",0.0526872249691067,0.000555915496079251,858
"Pattern1","patient_107","ctrl",0.0362236605791518,0.000711873639374971,517
"Pattern1","patient_1015","ctrl",0.0498283386449834,0.000723334756912664,2738
"Pattern1","patient_1016","ctrl",0.0383028348962881,0.000697726791258901,1723
"Pattern1","patient_1039","ctrl",0.031700629783332,0.000438305665738881,461
"Pattern1","patient_1244","ctrl",0.0226591071524129,0.000322909763781354,1879
"Pattern1","patient_1256","ctrl",0.0247308383117176,0.000708072358975187,2108
"Pattern1","patient_1488","ctrl",0.0241210711966648,0.000327371002640575,2031
"Pattern1","patient_101","stim",0.0767749943784657,0.00108588871080428,1166
"Pattern1","patient_107","stim",0.0486538659818307,0.000507900142110884,525
"Pattern1","patient_1015","stim",0.05761635801177,0.00107172888237983,2352
"Pattern1","patient_1016","stim",0.0486014779575119,0.000593659351579845,1635
"Pattern1","patient_1039","stim",0.0448565706802879,0.000530546356458217,641
"Pattern1","patient_1244","stim",0.0197728295662944,0.000348615809343755,1464
"Pattern1","patient_1256","stim",0.0315524579180824,0.000433413631981239,2026
"Pattern1","patient_1488","stim",0.0298730564977668,0.000302721513435245,2549
"Pattern2","patient_101","ctrl",0.180547059686025,0.00950679555535316,858
"Pattern2","patient_107","ctrl",0.2517502376847,0.037345364689827,517
"Pattern2","patient_1015","ctrl",0.174569113354398,0.0184071473777294,2738
"Pattern2","patient_1016","ctrl",0.115265515989347,0.00493220007047057,1723
"Pattern2","patient_1039","ctrl",0.166304942146979,0.0144416112452745,461
"Pattern2","patient_1244","ctrl",0.139303015889178,0.00571463536471128,1879
"Pattern2","patient_1256","ctrl",0.116604856944456,0.000653956609312445,2108
"Pattern2","patient_1488","ctrl",0.0845061806516389,0.000512331316713244,2031
"Pattern2","patient_101","stim",0.0645388334638262,0.00146459304960445,1166
"Pattern2","patient_107","stim",0.0670573377616901,0.010944427922368,525
"Pattern2","patient_1015","stim",0.0423608174540098,0.000885599583853036,2352
"Pattern2","patient_1016","stim",0.036901807376591,0.000651211070362478,1635
"Pattern2","patient_1039","stim",0.0512226926439348,0.000810995697975159,641
"Pattern2","patient_1244","stim",0.0336338567932668,0.000495995132951066,1464
"Pattern2","patient_1256","stim",0.0371569638892595,0.000181078605237417,2026
"Pattern2","patient_1488","stim",0.0256392062489378,0.000121917641081382,2549
"Pattern3","patient_101","ctrl",0.0706406992635411,0.00346393149811774,858
"Pattern3","patient_107","ctrl",0.0740035008560001,0.0149183170869946,517
"Pattern3","patient_1015","ctrl",0.0791360088986489,0.0260081244632602,2738
"Pattern3","patient_1016","ctrl",0.058990012238131,0.00591322546824813,1723
"Pattern3","patient_1039","ctrl",0.0546109170019503,0.000422909040935338,461
"Pattern3","patient_1244","ctrl",0.0508055853274232,0.000143350713187829,1879
"Pattern3","patient_1256","ctrl",0.050693948262232,0.000733033142751083,2108
"Pattern3","patient_1488","ctrl",0.0434861828798821,0.00011895333591383,2031
"Pattern3","patient_101","stim",0.0743382237126977,0.00336951366625726,1166
"Pattern3","patient_107","stim",0.0795603761680407,0.0124434633180499,525
"Pattern3","patient_1015","stim",0.0838049376241381,0.0323825012892485,2352
"Pattern3","patient_1016","stim",0.0551879855154806,0.00257312483154237,1635
"Pattern3","patient_1039","stim",0.0627852609531739,0.000956570205744356,641
"Pattern3","patient_1244","stim",0.043867763080892,7.8060391388135e-05,1464
"Pattern3","patient_1256","stim",0.0524818057715458,0.000618816149653867,2026
"Pattern3","patient_1488","stim",0.0455358313137107,0.000206262251595035,2549
"Pattern4","patient_101","ctrl",0.00557788603383915,0.000107007021142635,858
"Pattern4","patient_107","ctrl",0.00538371035028481,0.000112979032564908,517
"Pattern4","patient_1015","ctrl",0.0164500748889565,0.000431620006565936,2738
"Pattern4","patient_1016","ctrl",0.0169913378432922,0.000397606228943914,1723
"Pattern4","patient_1039","ctrl",0.0152627415971916,0.000435350724728778,461
"Pattern4","patient_1244","ctrl",0.00652088281185091,0.000140153832035139,1879
"Pattern4","patient_1256","ctrl",0.0131565060673544,0.000402949546696618,2108
"Pattern4","patient_1488","ctrl",0.00560844714811635,0.000141879208968021,2031
"Pattern4","patient_101","stim",0.285870571367398,0.269313886761665,1166
"Pattern4","patient_107","stim",0.288596261053721,0.277407318353653,525
"Pattern4","patient_1015","stim",0.306805587105065,0.29537108540535,2352
"Pattern4","patient_1016","stim",0.290255042349131,0.27402800321579,1635
"Pattern4","patient_1039","stim",0.257758594279452,0.241381347179413,641
"Pattern4","patient_1244","stim",0.28966263496669,0.280950367450714,1464
"Pattern4","patient_1256","stim",0.302962539311028,0.298134312033653,2026
"Pattern4","patient_1488","stim",0.309696118171075,0.29255610704422,2549
"Pattern5","patient_101","ctrl",0.00112163202350308,2.42333580899867e-05,858
"Pattern5","patient_107","ctrl",0.00138727851957123,2.52016998274485e-05,517
"Pattern5","patient_1015","ctrl",0.0043807694114109,3.46699889632873e-05,2738
"Pattern5","patient_1016","ctrl",0.00455076468753705,4.48820937890559e-05,1723
"Pattern5","patient_1039","ctrl",0.00251791617004442,3.1930954719428e-05,461
"Pattern5","patient_1244","ctrl",0.00116184053017411,2.79780724667944e-05,1879
"Pattern5","patient_1256","ctrl",0.00226335786645448,3.66083022527164e-05,2108
"Pattern5","patient_1488","ctrl",0.000667007190408446,2.90614825644298e-05,2031
"Pattern5","patient_101","stim",0.151131627245451,0.00399011792615056,1166
"Pattern5","patient_107","stim",0.192193262784988,0.0113661298528314,525
"Pattern5","patient_1015","stim",0.189433339087005,0.0131885386072099,2352
"Pattern5","patient_1016","stim",0.109508303868793,0.000273113488219678,1635
"Pattern5","patient_1039","stim",0.149515677458332,0.00170662917662412,641
"Pattern5","patient_1244","stim",0.122887938748925,0.00079731218283996,1464
"Pattern5","patient_1256","stim",0.115501315826536,0.000380536162992939,2026
"Pattern5","patient_1488","stim",0.0826515110617657,0.000183869284228422,2549
"Pattern6","patient_101","ctrl",0.193417382499165,0.166542172431946,858
"Pattern6","patient_107","ctrl",0.17000999530826,0.140083134174347,517
"Pattern6","patient_1015","ctrl",0.188801573047223,0.164631098508835,2738
"Pattern6","patient_1016","ctrl",0.180531944539051,0.166192099452019,1723
"Pattern6","patient_1039","ctrl",0.200340111580603,0.179796680808067,461
"Pattern6","patient_1244","ctrl",0.234710350268806,0.216274321079254,1879
"Pattern6","patient_1256","ctrl",0.213952070339447,0.194627031683922,2108
"Pattern6","patient_1488","ctrl",0.223333317475195,0.203213259577751,2031
"Pattern6","patient_101","stim",0.137126172846633,0.108075622469187,1166
"Pattern6","patient_107","stim",0.129800988048827,0.110656730830669,525
"Pattern6","patient_1015","stim",0.133592591971423,0.106396175920963,2352
"Pattern6","patient_1016","stim",0.128396592509835,0.113953948020935,1635
"Pattern6","patient_1039","stim",0.152052354643951,0.11917757242918,641
