"gene","pattern","rank","cogaps_weight","contrast_scope","cell_type","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","B cells",0.129409399170069,-0.390025014726914,8,2,6,0,0.75,0.293621543928906,"up_in_stim","suggestive",0.328114844009973
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","CD14+ Monocytes",-1.16789012499641,-1.16765835752286,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","CD4 T cells",-0.614404773046251,-0.675137818923696,8,1,7,0,0.875,0.0208625823327655,"down_in_stim","strong",0.0480746462450683
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","CD8 T cells",-0.90034651927819,-0.913309759580059,5,2,3,0,0.6,0.280712665268496,"down_in_stim","weak_or_mixed",0.316548324664474
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","Dendritic cells",-0.897565750583269,-0.875079305938102,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","FCGR3A+ Monocytes",-1.13943381105872,-1.07228236451988,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","Megakaryocytes",-0.793308916800313,-0.793308916800313,1,0,1,0,1,NA,"down_in_stim","strong",NA
"TIMP1","Pattern1",1,5.43293523788452,"by_cell_type","NK cells",-1.51468809220097,-1.4046196885061,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","B cells",-1.30982434414063,-1.25829214253498,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","CD14+ Monocytes",-1.13314165433764,-1.0824018232817,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","CD4 T cells",-0.845984476155722,-0.840368929780212,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","CD8 T cells",-1.00213076518342,-0.91823308389545,5,0,5,0,1,0.0590582290905367,"down_in_stim","strong",0.0731761238779795
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","Dendritic cells",-1.08042324299839,-0.994497210460398,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","FCGR3A+ Monocytes",-1.08695205601665,-1.10571513039191,6,0,6,0,1,0.0360316862182336,"down_in_stim","strong",0.0536857654094966
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","Megakaryocytes",0.468200785918107,0.468200785918107,1,1,0,0,1,NA,"up_in_stim","moderate",NA
"FTH1","Pattern1",2,4.97051095962524,"by_cell_type","NK cells",-0.639793865137892,-0.69649912109545,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","B cells",-0.45106381412711,-0.75722119486787,8,3,5,0,0.625,0.528612125255688,"down_in_stim","moderate",0.575117590820704
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","CD14+ Monocytes",0.724244615073376,0.773347085576823,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0343685406898494
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","CD4 T cells",1.2783825507223,0.223998207075614,8,6,2,0,0.75,0.293621543928906,"up_in_stim","strong",0.328114844009973
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","CD8 T cells",3.43039977167986,0.649226374241607,5,3,0,2,0.6,0.18144920772142,"up_in_stim","weak_or_mixed",0.211343974044683
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","Dendritic cells",-0.253282464208536,-0.274683971348006,6,1,5,0,0.833333333333333,0.208412803684149,"down_in_stim","moderate",0.238645525206232
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","FCGR3A+ Monocytes",0.633556337345682,0.57572754623595,6,6,0,0,1,0.0360316862182336,"up_in_stim","strong",0.0536857654094966
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","Megakaryocytes",3.8993926242885,3.8993926242885,1,1,0,0,1,NA,"up_in_stim","strong",NA
"MS4A7","Pattern1",3,4.77313470840454,"by_cell_type","NK cells",0.889959694028281,0,8,2,1,5,0.625,0.789268026134281,"up_in_stim","moderate",0.824840669565685
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","B cells",-1.46719601820208,-0.175924192232233,8,0,4,4,0.5,0.100348246462291,"down_in_stim","weak_or_mixed",0.122868645008283
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","CD14+ Monocytes",-0.867939021552309,-0.941127793398027,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0343685406898494
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","CD4 T cells",-0.316327609427219,-0.274425561517329,8,3,5,0,0.625,0.62406453246517,"down_in_stim","moderate",0.665310176852236
"FCGR3A","Pattern1",4,4.60338020324707,"by_cell_type","CD8 T cells",1.42921382239719,-0.741848709520896,5,2,3,0,0.6,0.787406490666269,"up_in_stim","weak_or_mixed",0.824840669565685
