"gene","pattern","rank","cogaps_weight","contrast_scope","mean_log2fc_stim_vs_ctrl","median_log2fc_stim_vs_ctrl","n_pairs","n_up_pairs","n_down_pairs","n_zero_pairs","sign_consistency","wilcoxon_pvalue","direction","evidence_strength","wilcoxon_fdr"
"TIMP1","Pattern1",1,5.43293523788452,"global",-1.1250063065886,-1.14754638128887,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"FTH1","Pattern1",2,4.97051095962524,"global",-1.0809246736652,-1.05921027187755,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"MS4A7","Pattern1",3,4.77313470840454,"global",0.583678230381872,0.622949393214476,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"FCGR3A","Pattern1",4,4.60338020324707,"global",-0.371067253893552,-0.147759235146986,8,1,7,0,0.875,0.058707408431205,"down_in_stim","moderate",0.0622298529370773
"SOD2","Pattern1",5,4.3295578956604,"global",0.506173706233199,0.579908977046506,8,7,1,0,0.875,0.0208625823327655,"up_in_stim","strong",0.0230357679924286
"S100A11","Pattern1",6,4.11211681365967,"global",-0.146419401181648,-0.171491678562262,8,0,8,0,1,0.0142661867014469,"down_in_stim","suggestive",0.0164371281560149
"TYROBP","Pattern1",7,3.90458726882935,"global",0.0102062170910437,0.0618153785815005,8,5,3,0,0.625,0.441208519505878,"up_in_stim","weak_or_mixed",0.449693298727144
"FCER1G","Pattern1",8,3.77762842178345,"global",-0.280272296492361,-0.319456504702255,8,0,8,0,1,0.0142661867014469,"down_in_stim","moderate",0.0164371281560149
"ACTB","Pattern1",9,3.55272316932678,"global",-1.19113445064019,-1.20325067028597,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
"SAT1","Pattern1",10,3.52467846870422,"global",1.3698097478045,1.372008837073,8,8,0,0,1,0.0142661867014469,"up_in_stim","strong",0.0164371281560149
"FTL","Pattern1",11,3.47570705413818,"global",-0.593321764978219,-0.578827954251635,8,0,8,0,1,0.0142661867014469,"down_in_stim","strong",0.0164371281560149
