"contrast_scope","replicate","cell_type","gene","ctrl_cpm","stim_cpm","log2fc_stim_vs_ctrl","ctrl_n_cells","stim_n_cells"
"by_cell_type","patient_101","B cells","TIMP1",626.272115234069,464.813609742493,-0.429737612052977,106,141
"by_cell_type","patient_101","B cells","FTH1",194770.627837796,71550.3083263611,-1.44473986279134,106,141
"by_cell_type","patient_101","B cells","MS4A7",156.568028808517,30.9875739828329,-2.31853503817747,106,141
"by_cell_type","patient_101","B cells","FCGR3A",104.378685872345,0,-7.71257770362277,106,141
"by_cell_type","patient_101","B cells","SOD2",782.840144042587,2293.08047472963,1.54989072850901,106,141
"by_cell_type","patient_101","B cells","S100A11",1356.92291634048,1177.52781134765,-0.204496675080909,106,141
"by_cell_type","patient_101","B cells","TYROBP",313.136057617035,247.900591862663,-0.336422819419046,106,141
"by_cell_type","patient_101","B cells","FCER1G",104.378685872345,185.925443896997,0.829877262876509,106,141
"by_cell_type","patient_101","B cells","ACTB",22232.6600908095,10473.8000061975,-1.08585918679815,106,141
"by_cell_type","patient_101","B cells","SAT1",2452.8991180001,10132.9366923864,2.04626968306703,106,141
"by_cell_type","patient_101","B cells","FTL",27973.4878137884,14688.1100678628,-0.929388045801911,106,141
"by_cell_type","patient_101","B cells","CXCL16",156.568028808517,61.9751479656658,-1.33003523169624,106,141
"by_cell_type","patient_101","B cells","PSAP",2191.95240331924,836.664497536488,-1.38896248685508,106,141
"by_cell_type","patient_101","B cells","CTSS",1617.86963102135,2200.11775278113,0.44336741807075,106,141
"by_cell_type","patient_101","B cells","CST3",52.1893429361724,123.950295931332,1.23998656714883,106,141
"by_cell_type","patient_101","B cells","SH3BGRL3",5793.01706591514,1797.27929100431,-1.68822351436439,106,141
"by_cell_type","patient_101","B cells","S100A10",1043.78685872345,557.776331690992,-0.903466766179887,106,141
"by_cell_type","patient_101","B cells","CD63",2505.08846093628,1890.24201295281,-0.406196949104253,106,141
"by_cell_type","patient_101","B cells","GAPDH",6836.80392463859,2014.19230888414,-1.76286803395349,106,141
"by_cell_type","patient_101","B cells","S100A6",2035.38437451072,1208.51538533048,-0.751823023966381,106,141
"by_cell_type","patient_101","B cells","C15orf48",104.378685872345,216.91301787983,1.05171681229639,106,141
"by_cell_type","patient_101","B cells","PFN1",13986.7439068942,6662.32840630907,-1.0699050728717,106,141
"by_cell_type","patient_101","B cells","LGALS1",1983.19503157455,805.676923553655,-1.29902185395719,106,141
"by_cell_type","patient_101","B cells","CD74",71395.0211366839,43785.4420377429,-0.705365821416132,106,141
"by_cell_type","patient_101","B cells","HLA-DRA",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","HLA-DRB1",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","HLA-DPA1",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","HLA-DPB1",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","HLA-DQB1",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","HLA-DQA1",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","HSP90AB1",6210.53180940452,8583.55799324471,0.466826866391161,106,141
"by_cell_type","patient_101","B cells","HSP90AA1",4540.472835447,5763.68876080692,0.344116174008144,106,141
"by_cell_type","patient_101","B cells","ACTG1",6053.963780596,3346.65799014595,-0.855062542218395,106,141
"by_cell_type","patient_101","B cells","HLA-DMA",NA,NA,NA,106,141
"by_cell_type","patient_101","B cells","ISG15",730.650801106414,44064.3302035884,5.91331484052346,106,141
