"contrast_scope","replicate","gene","ctrl_cpm","stim_cpm","log2fc_stim_vs_ctrl","ctrl_n_cells","stim_n_cells"
"global","patient_101","TIMP1",29419.4114839062,11243.4835390209,-1.38763965918858,858,1166
"global","patient_101","FTH1",288020.407119476,148572.219756636,-0.955004299980281,858,1166
"global","patient_101","MS4A7",1127.33565193672,1686.21347413133,0.580658066818078,858,1166
"global","patient_101","FCGR3A",1868.94776322968,1727.00896140871,-0.113918964887702,858,1166
"global","patient_101","SOD2",4264.26963993453,7706.63841476154,0.853727484004768,858,1166
"global","patient_101","S100A11",9881.76827605019,8780.91957973231,-0.170388040808302,858,1166
"global","patient_101","TYROBP",6348.455400982,6664.49914885779,0.0700854475064823,858,1166
"global","patient_101","FCER1G",7782.66503000546,6233.05596522741,-0.320301556414742,858,1166
"global","patient_101","ACTB",22655.3975722859,9798.3343078922,-1.20920460990603,858,1166
"global","patient_101","SAT1",4613.76500272777,14076.9155644674,1.60920973050848,858,1166
"global","patient_101","FTL",125490.145935625,88879.7682816323,-0.497644753226638,858,1166
"global","patient_101","CXCL16",1029.30646481178,742.972359203029,-0.470022220170296,858,1166
"global","patient_101","PSAP",4151.32296781233,3044.82682315651,-0.447147863179486,858,1166
"global","patient_101","CTSS",1385.19503546099,2064.49890161241,0.575531230988492,858,1166
"global","patient_101","CST3",3654.7838243317,4582.69307082467,0.32636962926332,858,1166
"global","patient_101","SH3BGRL3",8581.81601200218,4370.06204622747,-0.97354820438551,858,1166
"global","patient_101","S100A10",6634.01868521549,4824.99354071451,-0.459315300559485,858,1166
"global","patient_101","CD63",6361.24181669394,4527.06286090099,-0.490687151336209,858,1166
"global","patient_101","GAPDH",9338.34560829242,4053.58796310604,-1.20386683494193,858,1166
"global","patient_101","S100A6",6346.32433169667,3814.99617387778,-0.73416423217861,858,1166
"global","patient_101","C15orf48",7266.9462629569,8385.32697583053,0.20650456466055,858,1166
"global","patient_101","PFN1",12554.1291598472,5370.16959796665,-1.22504553958211,858,1166
"global","patient_101","LGALS1",5221.11974904528,3611.01873749093,-0.531891745467965,858,1166
"global","patient_101","CD74",9958.48677032188,8741.36031934213,-0.18805864322762,858,1166
"global","patient_101","HLA-DRA",NA,NA,NA,858,1166
"global","patient_101","HLA-DRB1",NA,NA,NA,858,1166
"global","patient_101","HLA-DPA1",NA,NA,NA,858,1166
"global","patient_101","HLA-DPB1",NA,NA,NA,858,1166
"global","patient_101","HLA-DQB1",NA,NA,NA,858,1166
"global","patient_101","HLA-DQA1",NA,NA,NA,858,1166
"global","patient_101","HSP90AB1",1657.97190398254,1998.97887659118,0.269769468167517,858,1166
"global","patient_101","HSP90AA1",2109.75859247136,3644.39686344514,0.788458193850559,858,1166
"global","patient_101","ACTG1",3906.25,2024.93964122223,-0.947733844938886,858,1166
"global","patient_101","HLA-DMA",NA,NA,NA,858,1166
"global","patient_101","ISG15",460.310965630115,52938.9439902684,6.84402418432307,858,1166
"global","patient_101","ISG20",860.95199127114,15446.6549554773,4.16442694068339,858,1166
"global","patient_101","IFI6",210.975859247136,7009.40645038465,5.05083030222939,858,1166
"global","patient_101","IFIT3",125.733087834152,7788.22938931628,5.94722597425813,858,1166
"global","patient_101","LY6E",187.534097108565,6769.5784342692,5.17010634671381,858,1166
"global","patient_101","IFIT1",17.0485542825968,7151.57254241185,8.6708653787536,858,1166
"global","patient_101","MX1",89.5049099836334,4734.74897794942,5.71729276786612,858,1166
"global","patient_101","IFIT2",76.7184942716858,4524.5904071266,5.87285638336817,858,1166
"global","patient_101","IRF7",381.461402073104,3577.64061153672,3.22771131897461,858,1166
"global","patient_101","TNFSF10",230.155482815057,6948.83133291219,4.91306267626903,858,1166
"global","patient_101","OAS1",153.436988543372,3245.09557888178,4.3980714079519,858,1166
"global","patient_101","PLSCR1",545.553737043099,3478.74246056127,2.67165838203995,858,1166
"global","patient_101","BST2",686.204309874523,3226.55217557389,2.23245598041417,858,1166
"global","patient_101","CXCL10",266.383660665576,33721.7970288523,6.98134801753555,858,1166
"global","patient_101","APOBEC3A",262.121522094926,11177.9635139997,5.41159294098141,858,1166
"global","patient_101","IFITM3",281.301145662848,8956.46379771372,4.99026039305515,858,1166
"global","patient_101","RSAD2",14.9174849972722,5953.66868872178,8.59318884277346,858,1166
"global","patient_101","TYMP",2047.95758319694,4796.56032230907,1.22761256165614,858,1166
"global","patient_101","VIM",8014.95158210584,4051.11550933166,-0.984286530992531,858,1166
"global","patient_101","ANXA1",5809.29487179487,8030.52985920612,0.46709777676692,858,1166
"global","patient_101","CCR7",1883.86524822695,2418.05979134963,0.360069573415943,858,1166
"global","patient_101","HSPA8",2444.33647026732,2455.14659796542,0.00636498186047518,858,1166
"global","patient_101","EMP3",5692.08606110202,4782.96182654995,-0.251029112117735,858,1166
"global","patient_101","LTB",1063.40357337698,810.964837998648,-0.390766911397959,858,1166
"global","patient_101","RGCC",1562.07378614293,509.325477523541,-1.61584894062792,858,1166
"global","patient_101","CREM",1655.84083469722,1937.16753223153,0.226321477337166,858,1166
"global","patient_1015","TIMP1",21648.3335289613,7574.88981002222,-1.51489725953797,2738,2352
"global","patient_1015","FTH1",311360.117600371,149326.809036652,-1.06010844666287,2738,2352
"global","patient_1015","MS4A7",1106.69550782232,1469.39856675472,0.408806607770751,2738,2352
"global","patient_1015","FCGR3A",1439.96176870064,947.383241577954,-0.603750103634349,2738,2352
"global","patient_1015","SOD2",7130.6403742643,11561.8937164866,0.697235395795154,2738,2352
"global","patient_1015","S100A11",8250.61063880924,7011.11325883131,-0.234841902827361,2738,2352
"global","patient_1015","TYROBP",6352.32042747511,6253.44530114617,-0.0226306385752117,2738,2352
"global","patient_1015","FCER1G",5689.97993415721,4535.26914513577,-0.327203120337689,2738,2352
"global","patient_1015","ACTB",16924.6161499293,7380.40181458493,-1.1972967306659,2738,2352
"global","patient_1015","SAT1",4338.05076266971,10972.4638407442,1.3386681415418,2738,2352
"global","patient_1015","FTL",141817.020753335,83117.964724889,-0.770794868722835,2738,2352
"global","patient_1015","CXCL16",939.014370273488,529.770981436538,-0.825185427894244,2738,2352
"global","patient_1015","PSAP",3335.45729440895,1885.81764901002,-0.822528179043761,2738,2352
"global","patient_1015","CTSS",1441.35911151355,2065.98750981389,0.519250442557762,2738,2352
"global","patient_1015","CST3",3037.82327525977,3820.55559135089,0.330695867520523,2738,2352
"global","patient_1015","SH3BGRL3",7941.09920575035,3533.59630973943,-1.16808819704117,2738,2352
"global","patient_1015","S100A10",6036.52095175814,4235.78149572007,-0.511038350263616,2738,2352
"global","patient_1015","CD63",5883.51191374482,3973.8789497171,-0.566070730252465,2738,2352
"global","patient_1015","GAPDH",7407.31425121988,2991.89354944171,-1.30774799783668,2738,2352
"global","patient_1015","S100A6",5803.16470200267,2835.58724636021,-1.03306225748651,2738,2352
"global","patient_1015","C15orf48",7983.01949013755,7435.88458628943,-0.102423506947138,2738,2352
"global","patient_1015","PFN1",9240.62802175383,3496.01120632671,-1.4021528364645,2738,2352
"global","patient_1015","LGALS1",5031.13279787157,3302.11979983248,-0.607415745015185,2738,2352
"global","patient_1015","CD74",10438.1508124151,8772.24381874196,-0.250835211962492,2738,2352
"global","patient_1015","HLA-DRA",NA,NA,NA,2738,2352
"global","patient_1015","HLA-DRB1",NA,NA,NA,2738,2352
"global","patient_1015","HLA-DPA1",NA,NA,NA,2738,2352
"global","patient_1015","HLA-DPB1",NA,NA,NA,2738,2352
"global","patient_1015","HLA-DQB1",NA,NA,NA,2738,2352
"global","patient_1015","HLA-DQA1",NA,NA,NA,2738,2352
"global","patient_1015","HSP90AB1",1646.06983360442,1953.82878851876,0.247209500826758,2738,2352
"global","patient_1015","HSP90AA1",1980.73343729564,3072.4330567547,0.633217463775649,2738,2352
"global","patient_1015","ACTG1",3253.71273985389,1738.46018007441,-0.904083671190261,2738,2352
"global","patient_1015","HLA-DMA",NA,NA,NA,2738,2352
"global","patient_1015","ISG15",1617.42430593982,77410.994895585,5.5803317907888,2738,2352
"global","patient_1015","ISG20",1342.8464432036,17315.9940722923,3.68824354642744,2738,2352
"global","patient_1015","IFI6",701.466092079302,7638.72482692955,3.44395300239525,2738,2352
"global","patient_1015","IFIT3",218.684150219942,8713.1815133791,5.31306700132909,2738,2352
"global","patient_1015","LY6E",643.476365343662,7031.39728289532,3.44883435084652,2738,2352
