"pattern","rank","gene","weight"
"Pattern1",1,"TIMP1",5.43293523788452
"Pattern1",2,"FTH1",4.97051095962524
"Pattern1",3,"MS4A7",4.77313470840454
"Pattern1",4,"FCGR3A",4.60338020324707
"Pattern1",5,"SOD2",4.3295578956604
"Pattern1",6,"S100A11",4.11211681365967
"Pattern1",7,"TYROBP",3.90458726882935
"Pattern1",8,"FCER1G",3.77762842178345
"Pattern1",9,"ACTB",3.55272316932678
"Pattern1",10,"SAT1",3.52467846870422
"Pattern1",11,"FTL",3.47570705413818
"Pattern1",12,"CXCL16",3.15081763267517
"Pattern1",13,"PSAP",2.9972722530365
"Pattern1",14,"CTSS",2.86766362190247
"Pattern1",15,"CST3",2.68107986450195
"Pattern1",16,"CARD16",2.65565276145935
"Pattern1",17,"LST1",2.53355145454407
"Pattern1",18,"TYMP",2.51972222328186
"Pattern1",19,"PFN1",2.46135020256042
"Pattern1",20,"CLIC1",2.41911911964417
"Pattern1",21,"C3AR1",2.32963752746582
"Pattern1",22,"JUNB",2.20088768005371
"Pattern1",23,"ATP1B3",1.98022627830505
"Pattern1",24,"COTL1",1.97404432296753
"Pattern1",25,"AIF1",1.8692843914032
"Pattern1",26,"PILRA",1.78729355335236
"Pattern1",27,"GBP1",1.75948441028595
"Pattern1",28,"CD74",1.72429323196411
"Pattern1",29,"EMP3",1.64419281482697
"Pattern1",30,"FGL2",1.60240018367767
"Pattern1",31,"IFITM3",1.5815258026123
"Pattern1",32,"PLAUR",1.57269155979156
"Pattern1",33,"HLA-DPA1",1.55482876300812
"Pattern1",34,"ANXA5",1.53411865234375
"Pattern1",35,"NPC2",1.48129415512085
"Pattern1",36,"MS4A4A",1.47946190834045
"Pattern1",37,"ADA",1.47753202915192
"Pattern1",38,"CFD",1.41820287704468
"Pattern1",39,"HLA-DRA",1.41784608364105
"Pattern1",40,"CASP1",1.41693615913391
"Pattern1",41,"IFITM2",1.40918385982513
"Pattern1",42,"SERPINA1",1.39498400688171
"Pattern1",43,"VMO1",1.38544511795044
"Pattern1",44,"SPI1",1.35241627693176
"Pattern1",45,"HSPA8",1.31193709373474
"Pattern1",46,"FAM26F",1.30573332309723
"Pattern1",47,"CD86",1.29829776287079
"Pattern1",48,"DNAJA1",1.28647005558014
"Pattern1",49,"S100A4",1.27742683887482
"Pattern1",50,"GLRX",1.26236736774445
"Pattern2",1,"FTH1",10.1341285705566
"Pattern2",2,"FTL",9.51754760742188
"Pattern2",3,"TIMP1",7.6887149810791
"Pattern2",4,"S100A11",6.14548969268799
"Pattern2",5,"SH3BGRL3",6.1436710357666
"Pattern2",6,"S100A10",6.09179306030273
"Pattern2",7,"CD63",5.92757749557495
"Pattern2",8,"GAPDH",5.84181594848633
"Pattern2",9,"ACTB",5.63624477386475
"Pattern2",10,"TYROBP",5.5582914352417
"Pattern2",11,"S100A6",5.4652681350708
"Pattern2",12,"FCER1G",5.34537553787231
"Pattern2",13,"C15orf48",5.26936197280884
"Pattern2",14,"PFN1",5.26585817337036
"Pattern2",15,"LGALS1",5.17817306518555
"Pattern2",16,"VIM",5.12357425689697
"Pattern2",17,"EMP3",4.99518871307373
"Pattern2",18,"ANXA5",4.66949415206909
"Pattern2",19,"LGALS3",4.05049324035645
"Pattern2",20,"ANXA2",3.86907768249512
"Pattern2",21,"S100A4",3.76994228363037
"Pattern2",22,"SOD2",3.46530890464783
"Pattern2",23,"PSAP",3.41709351539612
"Pattern2",24,"TYMP",3.25119113922119
"Pattern2",25,"SAT1",3.19964718818665
"Pattern2",26,"NPC2",3.10137271881104
"Pattern2",27,"ATP6V1F",3.07606363296509
"Pattern2",28,"HLA-DRA",2.88993668556213
"Pattern2",29,"ATP6V0B",2.87546825408936
"Pattern2",30,"RAC1",2.82391548156738
"Pattern2",31,"CLIC1",2.7809157371521
"Pattern2",32,"ANXA1",2.76766157150269
"Pattern2",33,"GPX1",2.69583106040955
"Pattern2",34,"GSTO1",2.52274417877197
"Pattern2",35,"SDCBP",2.51177072525024
"Pattern2",36,"PKM",2.46619391441345
"Pattern2",37,"MARCKSL1",2.45584654808044
"Pattern2",38,"IL8",2.30532097816467
"Pattern2",39,"CTSB",2.29712200164795
"Pattern2",40,"ACTG1",2.27540731430054
"Pattern2",41,"GPX4",2.0535261631012
"Pattern2",42,"PLAUR",2.00667953491211
"Pattern2",43,"LYZ",1.96067988872528
"Pattern2",44,"CST3",1.94712316989899
