"pattern","gene","rank","cogaps_weight"
"Pattern1","TIMP1",1,5.43293523788452
"Pattern1","FTH1",2,4.97051095962524
"Pattern1","MS4A7",3,4.77313470840454
"Pattern1","FCGR3A",4,4.60338020324707
"Pattern1","SOD2",5,4.3295578956604
"Pattern1","S100A11",6,4.11211681365967
"Pattern1","TYROBP",7,3.90458726882935
"Pattern1","FCER1G",8,3.77762842178345
"Pattern1","ACTB",9,3.55272316932678
"Pattern1","SAT1",10,3.52467846870422
"Pattern1","FTL",11,3.47570705413818
"Pattern1","CXCL16",12,3.15081763267517
"Pattern1","PSAP",13,2.9972722530365
"Pattern1","CTSS",14,2.86766362190247
"Pattern1","CST3",15,2.68107986450195
"Pattern2","FTH1",1,10.1341285705566
"Pattern2","FTL",2,9.51754760742188
"Pattern2","TIMP1",3,7.6887149810791
"Pattern2","S100A11",4,6.14548969268799
"Pattern2","SH3BGRL3",5,6.1436710357666
"Pattern2","S100A10",6,6.09179306030273
"Pattern2","CD63",7,5.92757749557495
"Pattern2","GAPDH",8,5.84181594848633
"Pattern2","ACTB",9,5.63624477386475
"Pattern2","TYROBP",10,5.5582914352417
"Pattern2","S100A6",11,5.4652681350708
"Pattern2","FCER1G",12,5.34537553787231
"Pattern2","C15orf48",13,5.26936197280884
"Pattern2","PFN1",14,5.26585817337036
"Pattern2","LGALS1",15,5.17817306518555
"Pattern3","CD74",1,13.7050151824951
"Pattern3","HLA-DRA",2,12.0578451156616
"Pattern3","HLA-DRB1",3,10.1986074447632
"Pattern3","HLA-DPA1",4,8.48537349700928
"Pattern3","HLA-DPB1",5,8.20563220977783
"Pattern3","FTL",6,5.60036754608154
"Pattern3","ACTB",7,4.71254062652588
"Pattern3","FTH1",8,3.59436368942261
"Pattern3","PFN1",9,3.1440258026123
"Pattern3","HLA-DQB1",10,2.78351044654846
"Pattern3","HLA-DQA1",11,2.27387642860413
"Pattern3","HSP90AB1",12,1.99011337757111
"Pattern3","HSP90AA1",13,1.96780741214752
"Pattern3","ACTG1",14,1.63891017436981
"Pattern3","HLA-DMA",15,1.62464928627014
"Pattern4","ISG15",1,9.82040977478027
"Pattern4","ISG20",2,8.38416481018066
"Pattern4","IFI6",3,6.575852394104
"Pattern4","IFIT3",4,4.92728328704834
"Pattern4","LY6E",5,4.53398990631104
"Pattern4","IFIT1",6,4.01197099685669
"Pattern4","MX1",7,3.85335969924927
"Pattern4","FTH1",8,2.98574447631836
"Pattern4","IFIT2",9,1.60991239547729
"Pattern4","SAT1",10,1.56951463222504
"Pattern4","IRF7",11,1.56163501739502
"Pattern4","TNFSF10",12,1.40809190273285
"Pattern4","OAS1",13,1.35603356361389
"Pattern4","PLSCR1",14,1.17907178401947
"Pattern4","BST2",15,1.08426094055176
"Pattern5","CXCL10",1,8.17831039428711
"Pattern5","ISG15",2,7.77035284042358
"Pattern5","APOBEC3A",3,7.38243389129639
"Pattern5","IFITM3",4,6.76309967041016
"Pattern5","FTL",5,6.11449909210205
"Pattern5","RSAD2",6,5.73615598678589
"Pattern5","TNFSF10",7,5.33551263809204
"Pattern5","FTH1",8,4.96856784820557
"Pattern5","SAT1",9,4.95289897918701
"Pattern5","SOD2",10,4.65984487533569
"Pattern5","ISG20",11,4.6575870513916
"Pattern5","TYMP",12,4.61898517608643
"Pattern5","IFIT3",13,4.55023384094238
"Pattern5","C15orf48",14,4.4626350402832
"Pattern5","LY6E",15,4.44501924514771
"Pattern6","FTH1",1,12.9676628112793
"Pattern6","FTL",2,5.56545400619507
"Pattern6","ACTB",3,5.14597940444946
"Pattern6","PFN1",4,3.59252691268921
"Pattern6","SH3BGRL3",5,2.96568727493286
"Pattern6","VIM",6,1.93771183490753
"Pattern6","ANXA1",7,1.75308179855347
"Pattern6","GAPDH",8,1.47873985767365
"Pattern6","CCR7",9,1.33963072299957
"Pattern6","HSPA8",10,1.26981425285339
"Pattern6","EMP3",11,1.25110065937042
"Pattern6","LTB",12,1.19015574455261
"Pattern6","RGCC",13,1.08750975131989
"Pattern6","ACTG1",14,0.879792630672455
"Pattern6","CREM",15,0.856085419654846
