"replicate","condition","cell_type","n_cells","library_size_total_counts","library_size_pattern_genes","TIMP1","FTH1","MS4A7","FCGR3A","SOD2","S100A11","TYROBP","FCER1G","ACTB","SAT1","FTL","CXCL16","PSAP","CTSS","CST3","SH3BGRL3","S100A10","CD63","GAPDH","S100A6","C15orf48","PFN1","LGALS1","CD74","HLA.DRA","HLA.DRB1","HLA.DPA1","HLA.DPB1","HLA.DQB1","HLA.DQA1","HSP90AB1","HSP90AA1","ACTG1","HLA.DMA","ISG15","ISG20","IFI6","IFIT3","LY6E","IFIT1","MX1","IFIT2","IRF7","TNFSF10","OAS1","PLSCR1","BST2","CXCL10","APOBEC3A","IFITM3","RSAD2","TYMP","VIM","ANXA1","CCR7","HSPA8","EMP3","LTB","RGCC","CREM","TIMP1__cpm","FTH1__cpm","MS4A7__cpm","FCGR3A__cpm","SOD2__cpm","S100A11__cpm","TYROBP__cpm","FCER1G__cpm","ACTB__cpm","SAT1__cpm","FTL__cpm","CXCL16__cpm","PSAP__cpm","CTSS__cpm","CST3__cpm","SH3BGRL3__cpm","S100A10__cpm","CD63__cpm","GAPDH__cpm","S100A6__cpm","C15orf48__cpm","PFN1__cpm","LGALS1__cpm","CD74__cpm","HLA-DRA__cpm","HLA-DRB1__cpm","HLA-DPA1__cpm","HLA-DPB1__cpm","HLA-DQB1__cpm","HLA-DQA1__cpm","HSP90AB1__cpm","HSP90AA1__cpm","ACTG1__cpm","HLA-DMA__cpm","ISG15__cpm","ISG20__cpm","IFI6__cpm","IFIT3__cpm","LY6E__cpm","IFIT1__cpm","MX1__cpm","IFIT2__cpm","IRF7__cpm","TNFSF10__cpm","OAS1__cpm","PLSCR1__cpm","BST2__cpm","CXCL10__cpm","APOBEC3A__cpm","IFITM3__cpm","RSAD2__cpm","TYMP__cpm","VIM__cpm","ANXA1__cpm","CCR7__cpm","HSPA8__cpm","EMP3__cpm","LTB__cpm","RGCC__cpm","CREM__cpm"
"patient_101","ctrl","B cells",106,19161,10017,12,3732,3,2,15,26,6,2,426,47,536,3,42,31,1,111,20,48,131,39,2,268,38,1368,647,409,194,194,158,139,119,87,116,42,14,83,4,0,9,0,6,4,18,2,5,8,23,0,0,1,0,24,118,3,228,113,156,49,31,104,626.272115234069,194770.627837796,156.568028808517,104.378685872345,782.840144042587,1356.92291634048,313.136057617035,104.378685872345,22232.6600908095,2452.8991180001,27973.4878137884,156.568028808517,2191.95240331924,1617.86963102135,52.1893429361724,5793.01706591514,1043.78685872345,2505.08846093628,6836.80392463859,2035.38437451072,104.378685872345,13986.7439068942,1983.19503157455,71395.0211366839,NA,NA,NA,NA,NA,NA,6210.53180940452,4540.472835447,6053.963780596,NA,730.650801106414,4331.71546370231,208.75737174469,0,469.704086425552,0,313.136057617035,208.75737174469,939.408172851104,104.378685872345,260.946714680862,417.514743489379,1200.35488753197,0,0,52.1893429361724,0,1252.54423046814,6158.34246646835,156.568028808517,11899.1701894473,5897.39575178749,8141.5374980429,2557.27780387245,1617.86963102135,5427.69166536193
"patient_101","ctrl","CD14+ Monocytes",207,260767,178987,7131,70472,132,200,999,2997,2004,2480,5931,1079,50360,134,1260,310,942,2569,2238,2413,2580,2073,2255,3490,1777,995,1681,736,283,357,197,100,229,449,958,94,83,45,48,5,18,3,8,4,79,4,12,141,141,2,55,42,2,635,2382,1145,26,381,1572,21,182,46,27346.251634601,270248.91953353,506.199020581592,766.968213002412,3831.00622394705,11493.0186718411,7685.02149428417,9510.40584122991,22744.4423565865,4137.79350914801,193122.596034007,513.868702711616,4831.8997419152,1188.80073015374,3612.42028324136,9851.70669601598,8582.37430349699,9253.4714898741,9893.88994773112,7949.62552777,8647.5666016022,13383.5953168921,6814.51257252643,3815.666859687,NA,NA,NA,NA,NA,NA,878.178603887762,1721.84363819042,3673.77774028155,NA,318.291808396001,172.567847925543,184.072371120579,19.1742053250603,69.0271391702171,11.5045231950362,30.6787285200965,15.3393642600482,302.952444135953,15.3393642600482,46.0180927801447,540.7125901667,540.7125901667,7.66968213002412,210.916258575663,161.063324730507,7.66968213002412,2435.12407628266,9134.59141685873,4390.89301943881,99.7058676903136,1461.0744457696,6028.37015419896,80.5316623652533,697.941073832195,176.402688990555
"patient_101","ctrl","CD4 T cells",353,54008,27619,115,17722,3,5,33,273,14,6,909,175,851,3,76,34,5,516,151,53,659,199,19,458,58,176,57,42,24,31,40,27,283,236,256,5,45,161,14,5,14,4,14,7,28,21,4,9,44,1,1,1,1,18,533,810,412,372,293,392,382,519,2129.31417567768,328136.57235965,55.5473263220264,92.5788772033773,611.02058954229,5054.8066953044,259.220856169456,111.094652644053,16830.839875574,3240.2607021182,15756.9249000148,55.5473263220264,1407.19893349133,629.536364982965,92.5788772033773,9554.14012738853,2795.88209154199,981.336098355799,12201.8960154051,3684.63931269442,351.799733372834,8480.22515182936,1073.91497555918,3258.77647755888,NA,NA,NA,NA,NA,NA,5239.96444971115,4369.72300399941,4740.03851281292,NA,833.209894830395,2981.03984594875,259.220856169456,92.5788772033773,259.220856169456,74.0631017627018,259.220856169456,129.610428084728,518.441712338913,388.831284254185,74.0631017627018,166.641978966079,814.69411938972,18.5157754406755,18.5157754406755,18.5157754406755,18.5157754406755,333.283957932158,9868.90830988002,14997.7781069471,7628.49948155829,6887.86846393127,5425.12220411791,7258.18397274478,7073.02621833802,9609.68745371056
"patient_101","ctrl","CD8 T cells",29,4036,1735,14,983,0,0,2,21,11,3,73,9,66,0,6,4,2,49,15,20,84,26,0,43,6,13,5,2,4,11,0,0,16,10,15,1,4,7,2,0,2,0,0,0,3,2,0,0,3,0,0,0,0,0,60,60,1,14,14,2,15,32,3468.78097125867,243557.978196234,0,0,495.540138751239,5203.17145688801,2725.47076313181,743.310208126858,18087.2150644202,2229.93062438057,16352.8245787909,0,1486.62041625372,991.080277502478,495.540138751239,12140.7333994054,3716.55104063429,4955.40138751239,20812.685827552,6442.02180376611,0,10654.1129831516,1486.62041625372,3221.01090188305,NA,NA,NA,NA,NA,NA,3964.32111000991,2477.70069375619,3716.55104063429,NA,991.080277502478,1734.39048562934,495.540138751239,0,495.540138751239,0,0,0,743.310208126858,495.540138751239,0,0,743.310208126858,0,0,0,0,0,14866.2041625372,14866.2041625372,247.770069375619,3468.78097125867,3468.78097125867,495.540138751239,3716.55104063429,7928.64222001982
"patient_101","ctrl","Dendritic cells",25,34926,22794,1075,6035,27,5,70,253,188,120,1109,196,1746,63,106,27,312,288,311,188,391,203,414,581,294,1691,2220,896,875,837,260,368,50,50,167,117,14,45,2,0,1,0,0,0,11,0,2,23,17,0,1,1,0,61,329,207,207,72,208,25,9,26,30779.3620798259,172793.907117906,773.063047586325,143.159823627097,2004.23753077936,7243.88707553112,5382.80936837886,3435.83576705034,31752.8488804902,5611.86508618221,49991.4104105824,1803.81377770143,3034.98826089446,773.063047586325,8933.17299433087,8246.0058409208,8904.54102960545,5382.80936837886,11195.098207639,5812.28883926015,11853.6333963237,16635.1715054687,8417.79762927332,48416.6523506843,NA,NA,NA,NA,NA,NA,1431.59823627097,1431.59823627097,4781.53810914505,NA,400.847506155872,1288.43841264388,57.2639294508389,0,28.6319647254195,0,0,0,314.951611979614,0,57.2639294508389,658.535188684648,486.743400332131,0,28.6319647254195,28.6319647254195,0,1746.54984825059,9419.916394663,5926.81669816183,5926.81669816183,2061.5014602302,5955.44866288725,715.799118135486,257.687682528775,744.431082860906
"patient_101","ctrl","FCGR3A+ Monocytes",72,84389,62548,5437,34908,364,642,878,1030,710,986,2076,650,5139,279,445,231,452,390,363,204,417,397,712,912,265,400,707,300,222,139,74,71,60,115,273,38,45,38,27,37,30,1,8,17,33,67,48,69,79,122,65,84,4,222,233,385,3,162,376,7,81,19,64427.8282714572,413655.808221451,4313.35837609167,7607.62658640344,10404.1995994739,12205.3822180616,8413.41881050848,11683.987249523,24600.3626065008,7702.42567159227,60896.5623481733,3306.11809596037,5273.19911362855,2737.32358482741,5356.14831316878,4621.45540295536,4301.50849044307,2417.37667231511,4941.40231546766,4704.40460249559,8437.11858180569,10807.0957115264,3140.21969687992,4739.9542594414,NA,NA,NA,NA,NA,NA,710.993138916209,1362.7368495894,3235.01878206875,NA,533.244854187157,450.295654646933,319.946912512294,438.445768998329,355.496569458105,11.8498856486035,94.7990851888279,201.448056026259,391.046226403915,793.942338456434,568.794511132968,817.642109753641,936.140966239676,1445.68604912963,770.242567159227,995.390394482693,47.399542594414,2630.67461398998,2761.02335612461,4562.20597471234,35.5496569458105,1919.68147507377,4455.55700387491,82.9491995402244,959.840737536883,225.147827323466
"patient_101","ctrl","NK cells",65,9254,2920,21,1281,0,23,4,33,46,55,105,9,178,1,13,13,1,100,15,57,118,39,8,138,11,29,5,2,9,3,1,3,20,40,48,3,11,25,2,12,14,0,6,4,7,12,1,6,15,0,1,3,0,1,102,111,7,33,51,3,30,31,2269.28895612708,138426.626323752,0,2485.41171385347,432.245515452777,3566.02550248541,4970.82342770694,5943.37583747569,11346.4447806354,972.552409768749,19234.9254376486,108.061378863194,1404.79792522153,1404.79792522153,108.061378863194,10806.1378863194,1620.92068294791,6159.49859520207,12751.2427058569,4214.39377566458,864.491030905554,14912.4702831208,1188.67516749514,3133.77998703263,NA,NA,NA,NA,NA,NA,2161.22757726389,4322.45515452777,5186.94618543333,NA,1188.67516749514,2701.53447157986,216.122757726389,1296.73654635833,1512.85930408472,0,648.368273179166,432.245515452777,756.42965204236,1296.73654635833,108.061378863194,648.368273179166,1620.92068294791,0,108.061378863194,324.184136589583,0,108.061378863194,11022.2606440458,11994.8130538146,756.42965204236,3566.02550248541,5511.13032202291,324.184136589583,3241.84136589583,3349.90274475902
"patient_101","stim","B cells",141,32271,17112,15,2309,1,0,74,38,8,6,338,327,474,2,27,71,4,58,18,61,65,39,7,215,26,1413,675,394,296,218,112,124,277,186,108,29,1422,1446,451,590,315,305,351,262,295,251,118,228,184,1141,7,93,112,100,100,7,674,166,122,64,6,287,464.813609742493,71550.3083263611,30.9875739828329,0,2293.08047472963,1177.52781134765,247.900591862663,185.925443896997,10473.8000061975,10132.9366923864,14688.1100678628,61.9751479656658,836.664497536488,2200.11775278113,123.950295931332,1797.27929100431,557.776331690992,1890.24201295281,2014.19230888414,1208.51538533048,216.91301787983,6662.32840630907,805.676923553655,43785.4420377429,NA,NA,NA,NA,NA,NA,8583.55799324471,5763.68876080692,3346.65799014595,NA,44064.3302035884,44808.0319791763,13975.3958662576,18282.6686498714,9761.08580459236,9451.21006476403,10876.6384679743,8118.74438350221,9141.3343249357,7777.88106969105,3656.53372997428,7065.1668680859,5701.71361284125,35356.8219144123,216.91301787983,2881.84438040346,3470.60828607728,3098.75739828329,3098.75739828329,216.91301787983,20885.6248644294,5143.93728115026,3780.48402590561,1983.2047349013,185.925443896997,8893.43373307304
"patient_101","stim","CD14+ Monocytes",269,448974,272460,4157,58239,411,268,4269,4153,3355,3369,3728,6064,57276,111,1475,915,1966,2092,2551,2785,1666,1951,4427,2227,2166,2064,2371,1286,713,648,279,159,583,1455,648,174,25135,5004,2129,2784,2513,2705,1456,1720,1150,2569,1214,1316,1227,16403,6657,4363,3242,2611,2002,3103,49,565,2315,13,23,191,9258.88804251471,129715.751914365,915.420492055219,596.916525233087,9508.34569485093,9249.97884064556,7472.59306775003,7503.77527429205,8303.37614204832,13506.3500336322,127570.861564367,247.230351868928,3285.26818924927,2037.97992756819,4378.8727186875,4659.51257756574,5681.84349205076,6203.03180139607,3710.68257850121,4345.46321167818,9860.25916868237,4960.19814064957,4824.33281214502,4597.14816448168,NA,NA,NA,NA,NA,NA,1298.51617242869,3240.72217990351,1443.29070280239,NA,55983.1972452748,11145.4115383073,4741.92269485538,6200.80450092878,5597.20607429383,6024.84776401306,3242.9494803708,3830.95680373474,2561.39553738078,5721.93490046194,2703.94276728719,2931.12741495053,2732.89767336193,36534.4095649191,14827.1392107338,9717.71193877596,7220.90811494652,5815.48152008802,4459.05553550985,6911.31334999354,109.137722897094,1258.42476401752,5156.20058177088,28.9549060747393,51.2279107476157,425.414389251939
"patient_101","stim","CD4 T cells",467,86816,49689,110,21251,5,4,114,420,19,22,978,1591,1038,7,83,140,18,526,244,60,639,237,17,539,44,255,68,29,51,31,18,11,396,404,365,8,3730,2270,1498,1008,789,850,820,682,404,485,451,360,290,507,25,166,414,116,463,1406,726,619,293,491,307,777,1267.04754883892,244782.0678216,57.5930704017693,46.0744563214154,1313.12200516034,4837.81791374862,218.853667526723,253.409509767785,11265.2045705861,18326.115001843,11956.3214154073,80.630298562477,956.04496866937,1612.60597124954,207.335053446369,6058.79100626613,2810.54183560634,691.116844821231,7360.39439734611,2729.91153704386,195.816439366015,6208.53298931073,506.81901953557,2937.24659049023,NA,NA,NA,NA,NA,NA,4561.37117582013,4653.52008846296,4204.29413932916,NA,42964.4305197199,26147.2539624032,17254.8838923701,11610.7629929967,9088.18650939919,9790.82196830077,9445.26354589016,7855.69480280133,4653.52008846296,5586.52782897162,5194.89495023959,4146.70106892739,3340.39808330262,5839.9373387394,287.965352008846,1912.08993733874,4768.7062292665,1336.15923332105,5333.11831920383,16195.1713969775,8362.5138223369,7130.02211573903,3374.95392554368,5655.63951345374,3536.21452266863,8949.96314043494
