"replicate","condition","n_cells","library_size_total_counts","library_size_pattern_genes","TIMP1","FTH1","MS4A7","FCGR3A","SOD2","S100A11","TYROBP","FCER1G","ACTB","SAT1","FTL","CXCL16","PSAP","CTSS","CST3","SH3BGRL3","S100A10","CD63","GAPDH","S100A6","C15orf48","PFN1","LGALS1","CD74","HLA.DRA","HLA.DRB1","HLA.DPA1","HLA.DPB1","HLA.DQB1","HLA.DQA1","HSP90AB1","HSP90AA1","ACTG1","HLA.DMA","ISG15","ISG20","IFI6","IFIT3","LY6E","IFIT1","MX1","IFIT2","IRF7","TNFSF10","OAS1","PLSCR1","BST2","CXCL10","APOBEC3A","IFITM3","RSAD2","TYMP","VIM","ANXA1","CCR7","HSPA8","EMP3","LTB","RGCC","CREM","TIMP1__cpm","FTH1__cpm","MS4A7__cpm","FCGR3A__cpm","SOD2__cpm","S100A11__cpm","TYROBP__cpm","FCER1G__cpm","ACTB__cpm","SAT1__cpm","FTL__cpm","CXCL16__cpm","PSAP__cpm","CTSS__cpm","CST3__cpm","SH3BGRL3__cpm","S100A10__cpm","CD63__cpm","GAPDH__cpm","S100A6__cpm","C15orf48__cpm","PFN1__cpm","LGALS1__cpm","CD74__cpm","HLA-DRA__cpm","HLA-DRB1__cpm","HLA-DPA1__cpm","HLA-DPB1__cpm","HLA-DQB1__cpm","HLA-DQA1__cpm","HSP90AB1__cpm","HSP90AA1__cpm","ACTG1__cpm","HLA-DMA__cpm","ISG15__cpm","ISG20__cpm","IFI6__cpm","IFIT3__cpm","LY6E__cpm","IFIT1__cpm","MX1__cpm","IFIT2__cpm","IRF7__cpm","TNFSF10__cpm","OAS1__cpm","PLSCR1__cpm","BST2__cpm","CXCL10__cpm","APOBEC3A__cpm","IFITM3__cpm","RSAD2__cpm","TYMP__cpm","VIM__cpm","ANXA1__cpm","CCR7__cpm","HSPA8__cpm","EMP3__cpm","LTB__cpm","RGCC__cpm","CREM__cpm"
"patient_101","ctrl",858,469248,306686,13805,135153,529,877,2001,4637,2979,3652,10631,2165,58886,483,1948,650,1715,4027,3113,2985,4382,2978,3410,5891,2450,4673,5322,2387,1611,1572,730,708,778,990,1833,300,216,404,99,59,88,8,42,36,179,108,72,256,322,125,123,132,7,961,3761,2726,884,1147,2671,499,733,777,29419.4114839062,288020.407119476,1127.33565193672,1868.94776322968,4264.26963993453,9881.76827605019,6348.455400982,7782.66503000546,22655.3975722859,4613.76500272777,125490.145935625,1029.30646481178,4151.32296781233,1385.19503546099,3654.7838243317,8581.81601200218,6634.01868521549,6361.24181669394,9338.34560829242,6346.32433169667,7266.9462629569,12554.1291598472,5221.11974904528,9958.48677032188,NA,NA,NA,NA,NA,NA,1657.97190398254,2109.75859247136,3906.25,NA,460.310965630115,860.95199127114,210.975859247136,125.733087834152,187.534097108565,17.0485542825968,89.5049099836334,76.7184942716858,381.461402073104,230.155482815057,153.436988543372,545.553737043099,686.204309874523,266.383660665576,262.121522094926,281.301145662848,14.9174849972722,2047.95758319694,8014.95158210584,5809.29487179487,1883.86524822695,2444.33647026732,5692.08606110202,1063.40357337698,1562.07378614293,1655.84083469722
"patient_101","stim",1166,808913,491309,9095,120182,1364,1397,6234,7103,5391,5042,7926,11387,71896,601,2463,1670,3707,3535,3903,3662,3279,3086,6783,4344,2921,7071,6275,3252,2546,2080,762,727,1617,2948,1638,339,42823,12495,5670,6300,5476,5785,3830,3660,2894,5621,2625,2814,2610,27278,9042,7245,4816,3880,3277,6496,1956,1986,3869,656,412,1567,11243.4835390209,148572.219756636,1686.21347413133,1727.00896140871,7706.63841476154,8780.91957973231,6664.49914885779,6233.05596522741,9798.3343078922,14076.9155644674,88879.7682816323,742.972359203029,3044.82682315651,2064.49890161241,4582.69307082467,4370.06204622747,4824.99354071451,4527.06286090099,4053.58796310604,3814.99617387778,8385.32697583053,5370.16959796665,3611.01873749093,8741.36031934213,NA,NA,NA,NA,NA,NA,1998.97887659118,3644.39686344514,2024.93964122223,NA,52938.9439902684,15446.6549554773,7009.40645038465,7788.22938931628,6769.5784342692,7151.57254241185,4734.74897794942,4524.5904071266,3577.64061153672,6948.83133291219,3245.09557888178,3478.74246056127,3226.55217557389,33721.7970288523,11177.9635139997,8956.46379771372,5953.66868872178,4796.56032230907,4051.11550933166,8030.52985920612,2418.05979134963,2455.14659796542,4782.96182654995,810.964837998648,509.325477523541,1937.16753223153
"patient_1015","ctrl",2738,1431288,967464,30985,445646,1584,2061,10206,11809,9092,8144,24224,6209,202981,1344,4774,2063,4348,11366,8640,8421,10602,8306,11426,13226,7201,14940,17192,9341,4697,4767,1830,1547,2356,2835,4657,976,2315,1922,1004,313,921,194,432,181,853,391,545,972,1348,687,970,1218,183,5188,8274,8482,2463,3184,9429,1732,2301,2166,21648.3335289613,311360.117600371,1106.69550782232,1439.96176870064,7130.6403742643,8250.61063880924,6352.32042747511,5689.97993415721,16924.6161499293,4338.05076266971,141817.020753335,939.014370273488,3335.45729440895,1441.35911151355,3037.82327525977,7941.09920575035,6036.52095175814,5883.51191374482,7407.31425121988,5803.16470200267,7983.01949013755,9240.62802175383,5031.13279787157,10438.1508124151,NA,NA,NA,NA,NA,NA,1646.06983360442,1980.73343729564,3253.71273985389,NA,1617.42430593982,1342.8464432036,701.466092079302,218.684150219942,643.476365343662,135.542252851977,301.826047587907,126.459524568081,595.966709704825,273.180519923314,380.775916517151,679.10860707279,941.809055899302,479.987256233546,677.711264259883,850.981773060348,127.856867380988,3624.7072566807,5780.80721699616,5926.13086953849,1720.82767409494,2224.56975814791,6587.77269144994,1210.09887597744,1607.64290624948,1513.32226637826
"patient_1015","stim",2352,1676196,1037168,12697,250301,2463,1588,19380,11752,10482,7602,12371,18392,139322,888,3161,3463,6404,5923,7100,6661,5015,4753,12464,5860,5535,14704,14317,8985,5511,4312,965,1088,3275,5150,2914,633,129756,29025,12804,14605,11786,13246,8201,9290,6586,11893,5291,6215,4942,64335,17484,17781,10491,11186,5483,10714,3538,4029,8221,1225,699,2911,7574.88981002222,149326.809036652,1469.39856675472,947.383241577954,11561.8937164866,7011.11325883131,6253.44530114617,4535.26914513577,7380.40181458493,10972.4638407442,83117.964724889,529.770981436538,1885.81764901002,2065.98750981389,3820.55559135089,3533.59630973943,4235.78149572007,3973.8789497171,2991.89354944171,2835.58724636021,7435.88458628943,3496.01120632671,3302.11979983248,8772.24381874196,NA,NA,NA,NA,NA,NA,1953.82878851876,3072.4330567547,1738.46018007441,NA,77410.994895585,17315.9940722923,7638.72482692955,8713.1815133791,7031.39728289532,7902.4171397617,4892.62592202821,5542.31128101964,3929.13477898766,7095.23229980265,3156.55209772604,3707.80028111271,2948.34255659839,38381.5496517114,10430.7610804464,10607.947996535,6258.8146016337,6673.44391705982,3271.0971747934,6391.85393593589,2110.73168054333,2403.65685158538,4904.55770088939,730.821455247477,417.015671198356,1736.67041324523
"patient_1016","ctrl",1723,612872,380901,18224,160434,679,1199,3845,4574,4090,3786,11992,3713,64528,723,2229,1310,1373,5895,3775,3412,5885,3731,4542,6146,3101,6445,8908,4179,2728,3487,627,448,1178,1559,2041,522,1666,1259,432,188,604,131,265,154,497,440,309,511,814,542,581,585,147,1833,4515,4775,1086,1645,3759,648,1320,887,29735.4096777141,261774.073542273,1107.89854977875,1956.36282943257,6273.74068320954,7463.22233680116,6673.4978918926,6177.47262071036,19566.8916184782,6058.36128914357,105287.890456735,1179.69168113407,3636.97476797765,2137.47731989714,2240.27203070135,9618.64793953713,6159.52433787153,5567.23100419011,9602.33131877456,6087.73120651621,7411.00915036092,10028.1951206777,5059.78409847407,10516.0620814787,NA,NA,NA,NA,NA,NA,1922.09792583117,2543.76117688522,3330.22229764127,NA,2718.34901904476,2054.26255400801,704.878016943179,306.752470336383,985.523894059445,213.747731989714,432.3904502082,251.275959743633,810.936051899907,717.931313553238,504.183581563524,833.77932096751,1328.17293007349,884.360845331488,947.995666305525,954.522314610555,239.854325209832,2990.83658577974,7366.95427430197,7791.18641412889,1771.98501481549,2684.08411544336,6133.41774465141,1057.31702541477,2153.79394065971,1447.28426164028
"patient_1016","stim",1635,739167,450894,12942,98599,1369,1275,5421,5387,5193,3966,6153,9539,52596,561,1814,1866,2399,3755,3415,2906,3511,2385,5711,3451,2745,6718,6909,3811,2745,2933,464,233,1483,2572,1436,356,47833,14027,6735,7156,6343,6833,4207,4816,2922,6716,2971,2644,2737,25314,9355,6734,4375,3372,2716,6823,1544,2202,3510,560,621,1209,17508.8985303727,133392.048075739,1852.0848468614,1724.91466745675,7333.93130375139,7287.93357928587,7025.47597498265,5365.49927147722,8324.23525400891,12905.0674610744,71155.773999651,758.962453680968,2454.11388766003,2524.46334860728,3245.54532331665,5080.04280494124,4620.06556028611,3931.45256755239,4749.94148818873,3226.60508383085,7726.26483595723,4668.76903324959,3713.6398134657,9088.60920468581,NA,NA,NA,NA,NA,NA,2006.31251124577,3479.59256839118,1942.72742154344,NA,64712.0339517322,18976.7670905222,9111.60806691857,9681.16812574154,8581.28136131619,9244.18974331917,5691.54196548277,6515.44238311505,3953.09855553616,9085.90345618784,4019.38939373646,3576.99951431814,3702.81681947381,34246.6587388236,12656.1385992611,9110.25519266959,5918.82483931236,4561.89196757972,3674.40646024511,9230.66100082931,2088.83784043389,2979.02909626647,4748.58861393975,757.609579431982,840.134908620109,1635.62496702369
"patient_1039","ctrl",461,358839,160636,8232,73659,184,227,1552,1897,1461,1506,4908,1385,28821,269,889,205,791,1792,1574,1437,1966,1188,2764,2619,1330,2176,2939,1194,655,819,254,236,319,398,904,139,373,362,150,39,155,29,46,20,115,35,74,163,180,41,114,125,23,760,2099,1290,678,481,1595,328,405,267,22940.6502637673,205270.330148061,512.764777518609,632.595676612631,4325.05942776566,5286.49338561305,4071.46380410156,4196.868233386,13677.4430872898,3859.66965686561,80317.3568090425,749.639810611444,2477.43416964154,571.286844518015,2204.33119031098,4993.88305061601,4386.36825986027,4004.58144181653,5478.78017718252,3310.67693310928,7702.61872315997,7298.53778435454,3706.39757662907,6064.00084717659,NA,NA,NA,NA,NA,NA,888.978065371936,1109.13250789351,2519.23564606969,NA,1039.46338051327,1008.80896446596,418.014764281474,108.683838713183,431.948589757524,80.8161877610851,128.191194379652,55.7353019041966,320.47798594913,97.536778332344,206.220617045527,454.242710519202,501.617717137769,114.257368903603,317.691220853921,348.345636901229,64.0955971898261,2117.94147235947,5849.41993484543,3594.92697282068,1889.42673455226,1340.43401079593,4444.89032685968,914.058951228824,1128.63986355998,744.066280421024
"patient_1039","stim",641,565850,259563,5336,64137,468,394,4586,2987,2418,2254,3497,6140,39250,318,902,749,1585,1624,1618,1693,1370,946,4676,1976,1449,3049,3169,1685,1045,910,222,160,808,1344,768,166,26564,6835,2920,3354,2856,3015,1739,2057,1484,2852,1335,1359,1224,14640,5368,3094,2508,2516,1933,2613,809,1102,2353,497,210,627,9430.06097022179,113346.29318724,827.074312980472,696.297605372449,8104.62136608642,5278.78413006981,4273.21728373244,3983.38782362817,6180.08306088186,10850.9322258549,69364.6726164178,561.986392153398,1594.06203057347,1323.67235132986,2801.09569673942,2870.01855615446,2859.41503932137,2991.95899973491,2421.13634355395,1671.82115401608,8263.67411858266,3492.09154369533,2560.74931518954,5388.35380401166,NA,NA,NA,NA,NA,NA,1427.94026685517,2375.18777061059,1357.25015463462,NA,46945.3035256693,12079.172925687,5160.37819210038,5927.36590969338,5047.27401254749,5328.26720862419,3073.25262878855,3635.23902094195,2622.60316338252,5040.20500132544,2359.28249536096,2401.69656269329,2163.11743394893,25872.5810727225,9486.61305999823,5467.88018025979,4432.27003622868,4446.40805867279,3416.09967305823,4617.83158080763,1429.70751966069,1947.51259167624,4158.34585137404,878.324644340373,371.123089157904,1108.06750905717
"patient_107","ctrl",517,335745,221039,11536,99555,283,347,3884,3054,2172,2164,8247,1734,39415,254,1237,324,620,2814,2337,2308,2970,1980,3098,3696,1721,2596,4740,1930,912,849,286,263,410,573,1417,202,123,293,34,8,51,2,21,6,133,33,35,199,208,89,79,20,8,1152,2568,1729,427,650,2127,282,446,388,34359.4096710301,296519.680114373,842.901606874265,1033.52246496597,11568.3033254404,9096.18907206362,6469.19537148729,6445.36776422583,24563.284635661,5164.63387392217,117395.642526322,756.52653055146,3684.34377280376,965.018094089264,1846.63956276341,8381.36085421972,6960.63977125497,6874.26469493217,8845.99919581825,5897.33279721217,9227.24091200167,11008.3545547961,5125.9140121223,7732.05855634484,NA,NA,NA,NA,NA,NA,1221.16487214999,1706.65237010231,4220.46493618669,NA,366.349461644998,872.686115951094,101.267330861219,23.8276072614633,151.900996291829,5.95690181536583,62.5474690613412,17.8707054460975,396.133970721828,98.2888799535362,104.245781768902,592.7117306289,619.517788798046,265.082130783779,235.29762170695,59.5690181536583,23.8276072614633,3431.17544565072,7648.66193092972,5149.74161938376,1271.7985375806,1935.99308999389,6335.16508064156,839.923155966582,1328.38910482658,1155.63895218097
"patient_107","stim",525,397441,244083,7714,47853,542,390,5084,3031,2472,2054,3784,5656,28196,193,872,655,1291,1618,1989,1950,1609,1202,3739,1699,1343,3305,4373,2243,1211,1070,244,295,777,1408,790,175,31086,6320,2859,3569,2516,3034,1985,2392,1253,2940,1239,1321,1314,17120,6304,2977,2867,2823,1633,2837,925,1057,1872,241,126,646,19409.1701661379,120402.77676435,1363.72442702187,981.277724240831,12791.8357693343,7626.28918506143,6219.79111364957,5168.06268100171,9520.91002186488,14231.0430982209,70943.8633658832,485.60666866277,2194.03634753334,1648.04335737883,3248.28087691003,4071.04450723504,5004.51639362824,4906.38862120415,4048.39963667563,3024.34826804482,9407.68566906786,4274.84834226967,3379.11790680881,8315.69968875883,NA,NA,NA,NA,NA,NA,1955.00715829519,3542.66419418228,1987.71641576989,NA,78215.3829121807,15901.7313261591,7193.52054770394,8979.94922516801,6330.49936971777,7633.8374752479,4994.45200671295,6018.50337534376,3152.66920121477,7397.32438273857,3117.44384701125,3323.76377877471,3306.15110167295,43075.5759974436,15861.4737784979,7490.41996170501,7213.64932153452,7102.94106546632,4108.78595816738,7138.16641966984,2327.38947416094,2659.51424236553,4710.13307635599,606.379311646257,317.028187831653,1625.39848681943
